№;Игрок;Позиция;Команда;МИН;Г;ГП;КП;КП+;КП%;УД;УД+;УД%;xG;Ф;ФП;ОФ;ЖК;КК;ТТД;ТТД+;ТТД%;ТШ;ГМ;ГМ+;ГМ%;ПОТ;ПТС;ВОЗ;ВЗС;НОМ;ПАС;ПАС+;ПАС%;ПСВ;ПСВ+;ПСВ%;ПCН;ПCН+;ПCН%;ДПС;ДПС+;ДПС%;КСП;КСП+;КСП%;ПФТ;ПФТ+;ПФТ%;ПСШ;ПСШ+;ПСШ%;НАВ;НАВ+;НАВ%;ППУ;ППУ+;ППУ%;ППС;ППШ;ЕД;ЕД+;ЕД%;ЕДВ;ЕДВ+;ЕДВ%;ЕДО;ЕДО+;ЕДО%;ЕДА;ЕДА+;ЕДА%;ОБВ;ОБВ+;ОБВ%;ОТБ;ОТБ+;ОТБ%;ПХ;ШТУ;ПШУ;ПШУ+;ПШУ%;УГЛ;АУТ;АУТ+;АУТ%
7;Абакар Гаджиев;ПАП;Динамо Махачкала;441;0;0.2;1.2;1.2;100 %;2.2;0.8;36 %;0.11;2.2;2;0.4;0.2;0;63.7;37.3;59 %;3.1;0.6;0;0 %;13.9;3.3;13.3;6.7;0.4;28.4;17.6;62 %;12.9;6.1;48 %;5.3;4.9;92 %;2.4;1;42 %;25.9;16.5;64 %;8.2;4.5;55 %;5.1;2.7;52 %;1.4;0;0 %;0.2;0.2;100 %;28.6;1.2;22.4;8.8;39 %;5.3;1.6;31 %;5.5;3.3;59 %;16.9;5.5;33 %;5.5;2.9;52 %;3.3;1.6;50 %;1.6;1;0.2;0;0 %;2.4;1;0.8;80 %
70;Абу-Сад Элударушев;ЦФД;Акрон;727;0.4;0.1;0;0;0 %;2.7;1.6;59 %;0.36;1.5;1.9;0.6;0.2;0;40.9;21.4;52 %;8.2;2.4;0.4;16 %;5.7;1;9;4.7;0.9;14;9.8;70 %;4.6;2;43 %;3.6;3.1;86 %;0;0;0 %;14;9.8;70 %;3.8;2.7;71 %;1.2;0.4;30 %;0.6;0.2;40 %;0.4;0.4;100 %;25.6;4.8;20.3;6.2;30 %;9.5;2.6;27 %;6.2;3.2;52 %;14.1;3;21 %;0.9;0.2;29 %;1.2;0.7;60 %;0.5;0;0;0;0 %;0;0.1;0.1;100 %
7;Азамат Гурфов;ПОП;Кубань Краснодар;22;0;0;0;0;0 %;0;0;0 %;0.00;0;0;0;0;0;57.3;53.2;93 %;0;0;0;0 %;4.1;0;20.5;4.1;0;28.6;24.5;86 %;20.5;16.4;80 %;0;0;0 %;0;0;0 %;28.6;24.5;86 %;4.1;4.1;100 %;4.1;0;0 %;4.1;0;0 %;0;0;0 %;20.5;0;8.2;8.2;100 %;0;0;0 %;8.2;8.2;100 %;0;0;0 %;4.1;4.1;100 %;4.1;4.1;100 %;12.3;0;0;0;0 %;0;0;0;0 %
13;Азамат Засеев;ПЗ;Алания;264;0;0;0;0;0 %;1;0.7;67 %;0.14;1.7;0.7;0;0.3;0;65.1;50.1;77 %;1.7;0.3;0;0 %;7.5;3.1;21.1;5.5;0.3;33.4;26.6;80 %;20.8;14.7;70 %;4.1;4.1;100 %;1.7;1.4;80 %;31.7;25.2;80 %;8.5;6.1;72 %;2.4;1;43 %;0.7;0;0 %;0.3;0.3;100 %;19.8;0.7;13;5.8;45 %;2.7;1;38 %;8.5;3.8;44 %;4.4;2;46 %;0.3;0;0 %;4.4;2.4;54 %;6.5;1;0;0;0 %;0;0.7;0.7;100 %
28;Азат Байрыев;ЛЦЗ;Кубань Краснодар;883;0.1;0;0.2;0.2;100 %;0.5;0.2;40 %;0.05;0.7;0.5;0;0.3;0;58;48.8;84 %;1.7;0.2;0.1;50 %;6.9;4.9;17.1;2.2;0.1;36.6;29.8;81 %;22.9;16.9;74 %;2.3;2.3;100 %;3;1.3;45 %;33.6;28.4;85 %;3.1;2.1;70 %;1.2;0.4;33 %;0.3;0;0 %;0.2;0.1;50 %;25.6;1.2;7.3;5.6;76 %;3.3;2.3;72 %;5.5;4.4;80 %;1.8;1.2;67 %;0.4;0.4;100 %;1.1;0.8;73 %;6.7;1.2;0;0;0 %;0;0.1;0.1;100 %
44;Азнаур Герюгов;ЦАП;Волга Ульяновск;126;0;0;0;0;0 %;0.7;0;0 %;0.01;0.7;0;0.7;0.7;0;62.1;45;72 %;2.1;0;0;0 %;7.9;0;10.7;7.1;1.4;34.3;30;88 %;16.4;13.6;83 %;6.4;6.4;100 %;0.7;0.7;100 %;33.6;29.3;87 %;9.3;8.6;92 %;0.7;0.7;100 %;0;0;0 %;1.4;1.4;100 %;31.4;0.7;15.7;4.3;27 %;2.1;0.7;33 %;4.3;2.9;67 %;11.4;1.4;13 %;4.3;2.1;50 %;1.4;0.7;50 %;2.9;0.7;0;0;0 %;0;0;0;0 %
30;Айдар Хабибуллин;ЛЦЗ;Волга Ульяновск;330;0;0;0;0;0 %;0;0;0 %;0.00;1.6;0.5;0;0;0;63.3;48.8;77 %;1.1;0;0;0 %;6.8;5.7;21.5;3;0;32.2;25.4;79 %;22.9;16.4;71 %;1.9;1.9;100 %;2.5;0.8;33 %;29.7;24.5;83 %;1.6;1.4;83 %;0.3;0;0 %;0;0;0 %;0.3;0;0 %;19.1;1.1;14.7;8.5;57 %;7.9;4.6;59 %;10.4;6.8;66 %;4.4;1.6;38 %;0;0;0 %;1.9;1.6;86 %;7.9;0.5;0;0;0 %;0;0.5;0.5;100 %
5;Алан Багаев;ЛЦЗ;Алания;927;0;0;0;0;0 %;1.2;0.3;25 %;0.14;1.2;1.3;0;0.3;0;88.1;70.3;80 %;2.7;0.7;0;0 %;11.2;8.2;28.7;4.7;0.6;47.5;37.4;79 %;30.6;20.8;68 %;4.2;4.2;100 %;3.9;2.1;55 %;43.6;35.2;81 %;3.3;2.1;65 %;1.6;0.7;44 %;0.5;0;0 %;0.1;0.1;100 %;29.7;1.5;18.7;12.8;68 %;9.1;6.6;72 %;13.5;10;74 %;5.2;2.8;54 %;1.2;0.7;58 %;2.8;1.6;55 %;8.7;1.5;0;0;0 %;0;0.2;0.1;50 %
6;Алан Дзагоев;ЛЦП;Рубин Казань;263;0.3;0;0.3;0.3;100 %;1.7;1;60 %;0.36;1.7;0.3;0.7;0;0;79.4;58.5;74 %;5.1;0.7;0.3;50 %;13.3;4.8;10.6;5.8;0.7;56.8;44.8;79 %;28.7;18.1;63 %;11.3;11.3;100 %;1;0;0 %;55.8;44.8;80 %;19.8;16.4;83 %;3.8;2.1;55 %;1;0.3;33 %;2.1;1.7;83 %;52.4;3.4;13;4.8;37 %;3.8;1.7;45 %;4.1;1.7;42 %;8.9;3.1;35 %;1.7;1;60 %;3.4;0.7;20 %;1.7;0.7;0;0;0 %;1;0;0;0 %
77;Алан Хабалов;ПФЗ;Алания;508;0;0;0.7;0.7;100 %;0.9;0.2;20 %;0.05;1.8;0.7;0;0.2;0;73;54.6;75 %;2.3;0;0;0 %;13.1;3.4;16.3;8;0.9;43.8;32.4;74 %;20.7;12.8;62 %;9.4;9.2;98 %;2.5;1.8;71 %;41.3;30.6;74 %;19.8;14.2;71 %;5.7;2.7;47 %;3.7;0.4;10 %;0.9;0.9;100 %;27.8;0.9;14.2;8.7;61 %;1.9;1.2;64 %;6;3.9;65 %;8.1;4.8;59 %;3.2;2.3;72 %;3.5;1.9;55 %;4.3;0.7;0;0;0 %;1.2;6.9;6.9;100 %
