Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Вячеслав Бардыбахин;Енисей Красноярск;–;90;ЗЛ;–;–;0.49;–;0 %;0.49;1.48;0.49;–;0.49;–;–;–;0.98;0.49;0.07;57.05;84 %;–;–;1.97;0 %;10.82;68 %;1.48;100 %;–;–;5.41;73 %;1.97;0 %;7.38;0.98;–;4.43;–;2.46;15.25;55 %;9.84;55 %;5.41;55 %;3.44;43 %;1.48;67 %;0.49;0 %;3.44;71 %;3.44;4.43;2;0.98;0.49;–;83.61;66.89;80 %;50 %;–;–;0.49;0.02;0.08;–;0;0.9;0.82;0.08;0.07;0.15;47.7;–;–;7.38;1.48;–;3.93;–;8.36;5.41;2.95;1.48;0.98;–;2.46
Дмитрий Бегун;СКА-Хабаровск;–;90;ЗЛ;–;–;–;–;–;0.47;0.47;0.93;–;0.93;0.47;–;–;0.47;0.47;0;49.9;79 %;0.47;100 %;2.33;20 %;9.33;60 %;4.66;40 %;2.33;20 %;6.99;73 %;3.73;50 %;6.53;2.33;0.93;5.6;0.47;6.99;16.79;72 %;9.79;71 %;6.99;73 %;1.87;75 %;5.6;67 %;3.26;86 %;5.13;64 %;5.13;5.6;2;0.93;–;–;85.8;69.48;81 %;100 %;–;–;–;0.05;0.01;–;0;1.2;1.26;-0.24;–;–;39.17;0.47;0.47;5.6;1.87;0.47;5.13;1.87;12.12;6.99;5.13;1.4;3.73;2.8;3.26
Илья Быковский;Арсенал Тула;–;90;ЗЛ;–;–;–;–;–;0.47;0.47;0.94;–;0.94;–;–;–;–;–;–;37.97;74 %;0.47;100 %;1.88;25 %;12.66;63 %;4.22;44 %;0.94;100 %;7.5;75 %;1.41;33 %;6.9;0.94;0.47;1.41;–;0.47;10.78;70 %;6.9;69 %;4.69;70 %;4.22;78 %;2.34;40 %;0.94;0 %;0.94;100 %;4.69;5.62;2;0.94;–;–;60.94;47.34;78 %;–;–;–;–;0.02;–;–;–;0.48;0.81;-0.33;0.05;0.05;28.12;0.47;0.47;7.97;1.88;0.94;5.62;0.47;7.5;4.22;3.28;3.28;0.94;–;0.94
Боян Димоски;ФК Акрон Тольятти;–;90;ЗЛ;–;0.83;–;–;–;0.83;0.83;–;–;1.67;–;–;–;0.83;0.83;0.01;38.33;74 %;–;–;3.33;25 %;5;17 %;1.67;0 %;–;–;2.5;33 %;4.17;40 %;7.5;4.17;–;5.83;2.5;3.33;9.17;64 %;6.67;50 %;2.5;100 %;1.67;50 %;1.67;100 %;–;–;2.5;33 %;6.67;9.17;2;0.83;0.83;0.83;67.5;54.17;80 %;100 %;–;–;–;0.24;0.01;–;0;1.32;1.18;0.14;0.23;0.28;28.33;–;0.83;0.83;–;–;0.83;1.67;5.83;3.33;2.5;0.83;1.67;–;0.83
Кирилл Фольмер;ФК Волгарь;–;90;ЗЛ;–;–;0.77;–;0 %;1.54;0.77;1.54;0.77;1.54;–;–;–;1.54;0.77;0.22;40;75 %;0.77;100 %;3.8;25 %;7.69;70 %;2.31;67 %;–;–;3.85;60 %;7.69;60 %;7.69;3.8;1.54;2.31;1.54;1.54;13.08;35 %;5.38;43 %;7.69;30 %;3.8;50 %;2.31;33 %;2.31;33 %;3.85;40 %;6.15;2.31;2;0.77;0.77;0.77;66.15;45.38;69 %;50 %;–;0.77;–;0.62;0.14;–;0;1.3;1.44;-0.14;–;–;30;0.77;0.77;5.38;1.54;–;2.31;4.62;4.62;2.31;2.31;1.54;0.77;0.77;1.54
Ян Гудков;Сокол Саратов;–;90;ЗЛ;–;–;–;–;–;0.62;–;0.62;0.62;0.62;–;–;–;0.62;–;0.02;40.34;74 %;–;–;0.62;0 %;9.93;56 %;1.24;50 %;–;–;7.45;58 %;6.21;70 %;6.21;0.62;0.62;3.72;0.62;3.1;13.03;62 %;10.55;59 %;2.48;75 %;3.72;50 %;1.24;100 %;–;–;4.34;57 %;2.48;1.86;2;1.24;1.24;–;62.07;45.31;73 %;0 %;–;0.62;–;0.63;0.04;–;0;1.3;1.86;-0.55;–;–;29.79;–;–;5.59;0.62;–;4.34;4.34;8.7;6.21;1.86;1.86;1.24;–;2.48
Сослан Качмазов;Алания Владикавказ;–;90;ЗЛ;–;–;–;–;–;–;1.75;0.87;–;–;–;–;–;–;–;–;66.41;92 %;–;–;2.62;67 %;11.36;92 %;2.62;67 %;–;–;5.24;100 %;3.5;75 %;2.62;0.87;–;7.86;0.87;2.62;19.22;68 %;13.98;81 %;5.24;33 %;6.99;75 %;1.75;50 %;0.87;100 %;2.62;33 %;6.12;7.86;2;0.87;–;0.87;102.23;90.87;89 %;–;–;–;–;0.02;–;–;–;1.25;0.36;0.89;–;–;61.17;–;1.75;10.49;1.75;–;5.24;2.62;13.11;11.36;1.75;5.24;0.87;0.87;0.87
Валерий Каптилов;Ленинградец;–;90;ЗЛ;–;–;–;–;–;0.57;–;–;–;1.15;–;–;–;–;–;–;38.98;69 %;–;–;1.72;0 %;15.48;59 %;7.45;54 %;2.29;50 %;12.04;52 %;3.44;33 %;7.45;1.15;0.57;4.1;1.15;2.29;10.32;50 %;8.6;53 %;1.72;33 %;3.44;50 %;0.57;100 %;–;–;2.87;60 %;3.44;5.16;2;1.15;1.15;–;60.76;42.99;71 %;–;–;–;–;–;–;–;–;0.83;0.44;0.39;0.01;0.02;26.94;–;–;9.17;4.1;1.15;6.31;1.15;5.16;4.59;0.57;1.72;0.57;–;1.72
Максим Караев;Сокол Саратов;–;90;ЗЛ;–;–;3.6;–;0 %;3.6;–;–;3.6;3.6;–;–;–;3.6;–;0.72;54;73 %;–;–;–;–;10.8;33 %;3.6;0 %;–;–;10.8;33 %;–;–;7.2;–;–;3.6;–;3.6;3.6;0 %;3.6;0 %;–;–;3.6;0 %;–;–;–;–;–;–;10.8;10.8;2;–;–;7.2;86.4;64.8;75 %;0 %;–;–;3.6;–;0.2;–;0;2.41;4.21;-1.8;0.79;0.22;39.6;–;–;3.6;–;–;3.6;–;–;–;–;–;–;–;–
Вадим Конюхов;ФК Акрон Тольятти;–;90;ЗЛ;–;1.7;–;–;–;2.14;1.7;3.21;–;–;–;–;–;–;–;–;41.79;59 %;–;–;5.36;60 %;17.14;38 %;7.5;71 %;–;–;6.43;67 %;5.36;60 %;12.86;4.29;1.7;4.29;1.7;2.14;17.14;63 %;12.86;58 %;4.29;75 %;5.36;60 %;3.21;100 %;2.14;100 %;4.29;50 %;5.36;9.64;2;1.7;1.7;1.7;78.21;53.57;68 %;–;–;–;–;0.18;–;–;–;1.58;0.57;1.1;–;–;24.64;–;3.21;6.43;5.36;–;4.29;3.21;10.71;7.5;3.21;3.21;3.21;2.14;2.14
