Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Илья Самошников;Рубин Казань;240;90;ЗП Л;0.08;0.16;0.74;0.08;11 %;1.15;0.91;1.32;–;–;0.16;–;–;2.22;0.99;0.1;39.69;74 %;1.48;33 %;1.89;30 %;7.41;58 %;1.65;45 %;0.25;33 %;5.27;61 %;5.43;55 %;8.89;1.32;0.49;4.45;1.24;5.43;20.83;59 %;8.89;62 %;11.94;56 %;2.55;39 %;8.32;64 %;5.52;58 %;4.78;67 %;4.61;5.43;12;0.99;0.16;–;78.72;58.22;74 %;44 %;0.66;0.58;–;0.26;0.05;1.24;0.81;1.41;0.58;0.83;0;0.02;29.56;0.49;0.58;4.28;0.74;0.08;3.21;2.96;12.19;5.52;6.67;0.99;5.35;3.21;3.21
Дмитрий Кабутов;Рубин Казань;233;90;ЗП П;0.09;0.26;0.17;0.09;50 %;1.2;1.37;1.11;0.09;0.43;0.34;–;–;1.28;0.26;0.06;56.26;73 %;1.46;41 %;4.11;23 %;11.73;59 %;2.48;59 %;0.43;60 %;7.88;60 %;12.42;58 %;8.73;1.8;1.11;3.17;0.94;3.25;16.7;49 %;8.5;57 %;8.65;42 %;1.8;38 %;4.54;49 %;2.48;48 %;3.34;59 %;5.31;6.8;13;0.86;0.17;0.26;89.91;63.97;71 %;20 %;0.51;0.43;0.09;0.53;0.05;0.73;1.37;1.38;0.58;0.81;–;–;40.93;0.6;0.94;6.94;1.46;0.26;4.71;7.19;8.22;4.62;3.6;0.69;2.23;1.2;1.97
Мухаммад Султонов;Родина Москва;231;90;П П;0.18;0.27;0.73;0.18;25 %;1.9;0.64;0.91;–;0.09;0.09;–;0.27;2.45;1.9;0.13;37.2;74 %;1.81;45 %;3.81;29 %;10.25;65 %;1.18;62 %;0.18;0 %;4.26;66 %;5.44;52 %;8.89;1.63;1.81;2.18;0.54;2.9;15.79;42 %;5.53;44 %;10.25;41 %;3.81;40 %;2.81;48 %;1.54;47 %;2.99;52 %;3.72;5.99;11;1;0.45;–;69.68;47.54;68 %;44 %;0.91;0.45;–;0.23;0.05;0.73;1.37;1.19;1.37;-0.18;0.03;0.06;27.4;0.82;1.9;6.71;0.73;–;2.81;2.81;6.62;2.45;4.17;1.54;1.36;0.73;1.54
Кирилл Маляров;Балтика;228;90;ЗП Л;–;0.08;0.23;–;0 %;0.31;0.53;1.83;0.15;0.31;0.08;–;0.08;0.61;0.15;0.05;44.35;73 %;0.53;29 %;2.98;36 %;11.45;60 %;1.37;56 %;0.08;0 %;8.2;60 %;7.33;60 %;7.2;1.45;0.76;4.5;1.22;1.98;11.6;58 %;7.2;63 %;4.58;50 %;3.21;55 %;1.68;59 %;0.69;33 %;3.5;68 %;4.66;6.11;13;0.99;0.23;–;70.08;51.83;74 %;25 %;0.23;0.23;–;0.14;0.08;–;0;1.36;0.7;0.66;0.01;0.04;32.21;0.15;1.7;6.87;0.76;–;4.81;4.43;6.72;4.43;2.29;1.76;0.99;0.23;2.6
Сергей Пряхин;Балтика;228;90;П ЛЦ;0.48;–;0.72;0.48;67 %;0.85;1.81;3.2;–;–;0.12;–;0.12;1.69;1.9;0.2;26.34;71 %;1.9;44 %;0.97;13 %;4.11;56 %;1.9;67 %;–;–;2.66;55 %;6.4;60 %;7.73;1.9;1.69;3.14;1.45;1.69;23.92;46 %;8.7;46 %;15.22;47 %;4.47;35 %;4.23;57 %;2.42;45 %;3.5;52 %;3.2;4.83;14;0.48;0.24;1.21;63.18;40.35;64 %;64 %;0.24;0.36;–;0.34;0.12;0.41;2.45;1.53;0.65;0.88;0;0.04;18.6;0.48;0.12;2.3;0.72;–;1.45;3.62;11.11;3.99;7.13;1.57;2.42;1.9;1.81
Константин Савичев;ФК Акрон Тольятти;227;90;З П;0.09;0.09;0.47;0.09;20 %;0.75;1.3;0.65;0.28;0.75;0.47;0.09;–;1.4;0.47;0.2;57.17;81 %;0.93;20 %;4.85;37 %;12.5;71 %;2.8;53 %;0.19;0 %;6.44;61 %;6.6;54 %;7.83;1.68;0.65;5.97;1.87;3.8;11.66;59 %;6.34;60 %;5.32;58 %;2.61;54 %;2.89;58 %;2.5;64 %;1.87;75 %;5.22;6.99;11;1.3;0.09;–;86.18;69.02;80 %;33 %;0.47;0.47;–;0.15;0.14;2.14;0.47;1.21;0.76;0.46;0.03;0.04;46.35;0.19;1.77;8.86;1.49;–;3.92;3.26;6.9;3.82;3.8;1.4;1.68;1.31;1.4
Никола Радмановац;Балтика;227;90;З ЛЦ;–;–;0.07;–;0 %;–;0.67;0.67;–;0.67;0.3;–;–;0.74;0.22;0.08;44.22;87 %;0.07;0 %;0.37;100 %;10.52;70 %;2.67;72 %;0.3;25 %;4.3;64 %;1.11;73 %;2.22;0.59;0.07;9.26;1.93;0.74;10.67;74 %;8.37;78 %;2.3;61 %;4.89;79 %;0.22;33 %;0.15;0 %;1.78;71 %;6.96;9.11;13;0.89;–;0.07;72.52;63.26;87 %;30 %;0.3;0.22;–;0.02;0.1;–;0;1.31;0.6;0.72;0.08;0.07;38.3;–;0.37;7.41;1.93;0.07;2.74;0.81;7.93;6.52;1.41;3.85;0.07;–;1.26
Абакар Гаджиев;Динамо Махачкала;225;90;АП ПЦ;–;0.21;0.62;–;0 %;1.85;2.6;2.27;–;0.41;0.21;–;0.41;2.27;0.82;0.12;30.69;63 %;2.6;80 %;1.24;50 %;7.83;34 %;2.47;42 %;0.21;100 %;3.71;44 %;5.15;60 %;12.56;1.24;1.3;3.91;1.24;2.47;21.42;42 %;6.8;48 %;14.62;39 %;4.32;43 %;5.35;58 %;2.88;50 %;3.3;50 %;3.5;6.18;7;1.3;1.3;0.41;67.55;41.4;61 %;36 %;1.24;0.21;–;0.12;0.05;–;0;0.89;0.47;0.42;0.02;0.04;19.36;1.65;0.62;2.68;1.3;0.21;1.65;3.9;9.6;3.3;5.77;1.85;3.9;1.44;1.65
Николай Марков;Енисей Красноярск;225;90;З П;–;0.32;0.48;–;0 %;1.43;0.48;0.64;0.16;0.32;–;–;–;0.8;0.32;0.09;52.73;85 %;1.12;57 %;1.75;27 %;6.53;61 %;1.91;42 %;–;–;3.3;63 %;2.23;36 %;4.78;0.8;0.32;4.3;1.27;1.12;12.27;60 %;7.1;80 %;5.26;33 %;3.35;67 %;0.96;33 %;0.8;20 %;1.75;82 %;4.46;4.78;9;0.96;0.64;0.48;76.46;62.76;82 %;40 %;0.48;–;–;0.17;0.11;–;0;1.66;1.5;0.6;0;0.02;44.76;0.64;0.48;3.98;0.8;–;1.91;0.8;7.33;5.58;1.75;2.23;0.32;0.16;1.43
Александр Осипов;Балтика;225;90;З ПЦ;0.08;0.08;0.23;0.08;33 %;0.38;0.3;0.68;0.15;0.46;0.08;–;–;0.46;0.15;0.05;40.56;84 %;0.15;100 %;0.23;33 %;12.84;72 %;3.95;69 %;0.61;63 %;7.37;69 %;0.91;67 %;3.11;0.76;0.23;6.84;0.84;0.99;14.35;71 %;11.16;73 %;3.19;67 %;7.6;75 %;0.46;50 %;–;–;1.59;71 %;5.54;6.46;13;0.91;0.08;0.08;68.58;57.27;84 %;33 %;0.3;–;–;0.06;0.11;0.68;1.47;1.28;0.61;0.67;0.06;0.09;33.87;0.15;0.08;9.27;2.73;0.38;5.9;0.61;10.25;8.13;2.13;5.32;0.23;–;1.14
Данила Сагуткин;ФК Акрон Тольятти;225;90;З ПЦ;0.16;–;0.16;0.16;100 %;–;1.29;1.45;0.32;0.81;0.32;–;–;0.16;0.16;0.01;53.64;83 %;–;–;–;–;13.09;65 %;3.55;77 %;0.65;100 %;5.49;59 %;0.32;0 %;3.39;0.81;–;7.27;1.13;2.59;14.22;77 %;11.47;77 %;2.75;76 %;8.24;82 %;0.81;100 %;0.32;100 %;1.62;60 %;6.95;6.3;9;1.13;0.81;0.32;83.86;71.74;86 %;100 %;–;–;–;–;0.07;0.07;14.29;1.9;0.79;0.3;0.13;0.11;44.76;–;–;8.56;2.75;0.65;3.23;–;10.99;8.89;2.1;6.79;0.81;0.32;0.97
Олег Ланин;Енисей Красноярск;224;90;ЗП Ц;–;–;0;–;–;–;1.4;1.49;0.19;0.47;0.28;–;–;0.19;–;0;49.57;88 %;0.19;0 %;0.47;0 %;9.6;67 %;1.3;73 %;0.19;50 %;5.32;72 %;1.68;56 %;3.17;1.21;0.28;6.72;2.61;0.84;15.87;68 %;11.95;68 %;3.92;69 %;4.11;55 %;1.12;67 %;0.28;67 %;4.85;79 %;6.54;6.7;11;1.3;0.19;–;79.36;67.78;85 %;0 %;0.19;–;–;0.06;0.02;–;0;1.38;1.22;0.17;0.02;0.04;43.51;–;–;6.7;0.75;0.09;3.83;0.93;10.83;8.12;2.71;2.24;0.75;0.19;3.83
Владимир Ковачевич;Динамо Махачкала;223;90;З ПЦ;0.08;–;0.32;0.08;25 %;0.08;1.2;1.1;–;–;0.32;–;0.16;0.32;0.08;0.09;42.71;80 %;0.16;50 %;0.55;57 %;10.25;68 %;1.81;57 %;0.16;50 %;6.7;67 %;0.95;42 %;4.18;1.65;0.32;9.14;1.73;1.34;16.87;76 %;13.32;78 %;3.55;71 %;7.41;79 %;0.32;100 %;0.08;100 %;2.6;82 %;6.62;6.62;12;0.95;–;–;74.79;61.55;82 %;25 %;0.16;0.08;–;0.1;0.3;1.2;0.83;1.8;0.65;0.44;0.07;0.06;34.05;0.08;0.32;7.1;1.2;0.08;4.49;0.39;12.85;10.32;2.52;5.83;0.32;0.08;2.13
Астемир Гордюшенко;Родина Москва;223;90;П Л;0.3;0.4;0.9;0.3;33 %;0.9;0.8;1.3;–;–;0.3;–;0.2;2.1;1.1;0.17;42.1;73 %;1.1;45 %;1.8;22 %;8;63 %;2.5;64 %;0.3;0 %;3.7;59 %;7.8;55 %;10;1.4;1.2;2.7;1.1;2.4;19;49 %;6.8;46 %;12.2;52 %;3.1;61 %;2.7;56 %;1.2;50 %;3.6;47 %;4.1;5.5;12;1.1;0.9;0.1;76.3;53.1;70 %;52 %;0.7;0.3;–;0.35;0.08;0.55;1.81;1.25;1.38;-0.13;0.01;0.03;30.7;0.5;0.4;5;1.6;–;2.2;4.3;9.4;3.1;6.3;1.9;1.5;0.6;1.7
