Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Арсен Адамов;Зенит;–;90;З П;–;–;–;–;–;–;–;22.5;–;–;–;–;–;–;–;–;135;83 %;–;–;22.5;0 %;–;–;–;–;–;–;–;–;22.5;0 %;–;–;–;–;–;–;22.5;100 %;–;–;22.5;100 %;–;–;–;–;–;–;–;–;–;–;1;–;–;22.5;157.5;135;86 %;–;–;–;–;–;–;–;–;–;–;–;–;–;112.5;–;–;–;–;–;–;–;22.5;–;22.5;–;–;–;–
Кики;Урал Екатеринбург;–;90;ЗП Л;–;–;–;–;–;–;–;1.8;1.8;1.8;–;–;–;–;–;–;28.8;88 %;–;–;1.8;100 %;10.8;67 %;3.6;50 %;1.8;0 %;3.6;0 %;3.6;100 %;1.8;–;–;5.4;–;–;7.2;100 %;5.4;100 %;1.8;100 %;1.8;100 %;–;–;–;–;1.8;100 %;7.2;5.4;1;–;–;1.8;50.4;46.8;93 %;–;–;–;–;0.31;–;–;–;0.49;1.21;-0.72;–;–;25.2;–;1.8;7.2;1.8;–;–;3.6;7.2;5.4;1.8;1.8;–;–;1.8
Гамид Агаларов;ФК Ахмат;–;90;АП Ц;2.43;–;2.43;2.43;100 %;–;–;2.43;–;–;–;–;–;2.43;2.43;1.82;2.43;0 %;–;–;–;–;–;–;–;–;–;–;–;–;–;–;9.73;–;–;–;–;–;17.03;0 %;–;–;17.03;0 %;4.86;0 %;2.43;0 %;–;–;–;–;–;2.43;1;–;–;2.43;24.32;4.86;20 %;100 %;–;–;–;–;0.75;0.75;1.33;2.12;0.63;1.48;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–
Ильзат Ахметов;ФК Краснодар;–;90;АП П;–;–;2.37;–;0 %;1.18;2.37;–;–;–;–;–;–;1.18;1.18;0.3;27.24;83 %;1.18;100 %;–;–;5.92;40 %;–;–;–;–;2.37;50 %;2.37;0 %;9.47;2.37;–;1.18;–;2.37;20.13;29 %;8.29;43 %;11.84;20 %;–;–;7.11;33 %;5.92;40 %;7.11;33 %;4.74;1.18;1;1.18;1.18;–;56.84;37.89;67 %;100 %;–;–;–;0.5;0.25;–;0;2.21;2.31;-0.09;–;–;22.5;1.18;–;2.37;–;–;1.18;–;5.92;3.55;2.37;–;2.37;2.37;2.37
Виктор Александров;Пари Нижний Новгород;–;90;З ЛЦ;–;–;–;–;–;–;3.46;–;–;–;–;1.73;–;–;–;–;10.38;83 %;–;–;–;–;1.73;100 %;–;–;–;–;–;–;–;–;3.46;3.46;–;6.92;1.73;–;10.38;67 %;10.38;67 %;–;–;1.73;100 %;–;–;–;–;6.92;50 %;3.46;–;1;1.73;–;–;24.23;19.04;79 %;–;–;–;–;–;–;–;–;1.3;0.76;0.54;–;–;8.65;–;–;1.73;–;–;–;–;6.92;6.92;–;1.73;–;–;3.46
Хуниор Осмар Игнасио Алонсо Мухика;ФК Краснодар;–;90;З ЛЦ;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;57.45;85 %;0.96;0 %;–;–;8.62;67 %;4.79;60 %;0.96;100 %;6.7;43 %;–;–;4.79;0.96;0.96;1.91;0.96;2.87;5.74;50 %;3.83;75 %;1.91;0 %;2.87;33 %;–;–;–;–;2.87;67 %;5.74;3.83;1;0.96;–;–;76.6;64.15;84 %;–;–;–;–;–;–;–;–;1.83;1.9;-0.07;0.05;0.03;48.83;–;–;5.74;2.87;0.96;2.87;–;2.87;2.87;–;0.96;–;–;1.91
Ильнур Альшин;Факел Воронеж;–;90;ЗП Л;–;–;–;–;–;0.91;2.73;1.82;–;–;–;–;–;0.91;–;0.05;36.36;63 %;0.91;100 %;3.64;25 %;8.18;67 %;4.55;20 %;–;–;5.45;67 %;7.27;25 %;7.27;1.82;–;4.55;0.91;–;19.09;62 %;11.82;62 %;7.27;63 %;4.55;80 %;2.73;67 %;2.73;67 %;8.18;56 %;2.73;5.45;1;0.91;–;–;67.27;45.45;68 %;0 %;–;0.91;–;0.61;0.06;–;0;1.91;1.67;0.24;–;–;22.73;0.91;0.91;5.45;0.91;–;3.64;1.82;11.82;7.27;4.55;3.64;1.82;1.82;4.55
Хызыр Аппаев;Факел Воронеж;–;90;Ф ЛЦ;–;0.91;–;–;–;0.91;0.91;1.82;–;–;–;–;2.73;–;–;–;14.55;75 %;–;–;2.73;33 %;0.91;100 %;–;–;–;–;–;–;1.82;50 %;7.27;–;0.91;–;–;0.91;12.73;21 %;4.55;20 %;8.18;22 %;9.09;20 %;–;–;–;–;0.91;100 %;0.91;1.82;1;0.91;–;–;31.82;17.27;54 %;–;–;–;–;0.75;–;–;–;1.91;1.67;0.24;–;–;10.91;–;0.91;0.91;–;–;–;0.91;2.73;0.91;1.82;1.82;–;–;0.91
Марат Апшацев;Рубин Казань;–;90;П ЛЦ;–;–;–;–;–;–;–;18;–;–;–;–;–;–;–;–;36;100 %;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;–;36;100 %;–;–;36;100 %;–;–;18;100 %;–;–;–;–;–;18;1;–;–;18;108;108;100 %;–;–;–;–;–;–;–;–;0.36;–;0.36;–;–;36;–;–;–;–;–;–;–;36;–;36;–;18;–;–
Ярослав Арбузов;ЦСКА Москва;–;90;АП ЛЦ;–;–;–;–;–;–;–;8.18;–;–;–;–;–;–;–;–;24.55;100 %;–;–;–;–;–;–;–;–;–;–;–;–;–;–;8.18;8.18;–;8.18;–;–;24.55;67 %;–;–;24.55;67 %;–;–;8.18;100 %;8.18;100 %;–;–;8.18;–;1;–;–;8.18;57.27;49.09;86 %;–;–;–;–;–;–;–;–;–;–;–;–;–;24.55;–;–;–;–;–;–;–;16.36;–;16.36;–;8.18;8.18;–
