;Голы;Голевые моменты;Голевые моменты удачные, %;Фолы;Желтые карточки;Красные карточки;Тактика (начальная);Офсайды;Угловые;Удары;Удары точные;Удары от ворот точные;Удары от ворот точные, %;Передачи;Передачи точные, %;Передачи ключевые;Передачи ключевые точные;Передачи ключевые точные, %;Навесы;Навесы точные, %;Передачи прогрессивные;Передачи прогрессивные точные, %;Передачи длинные;Передачи длинные точные, %;Передачи сверхдлинные;Передачи сверхдлинные точные, %;Передачи в штрафную;Передачи в штрафную точные, %;Единоборства;Единоборства удачные, %;Единоборства в обороне;Единоборства в обороне удачные, %;Единоборства в атаке;Единоборства в атаке удачные, %;Единоборства вверху;Единоборства вверху удачные, %;Обводки;Обводки удачные, %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные, %;Отборы;Отборы удачные, %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Овладевания после потерь в течение 10 сек;Овладевания после потерь в течение 10 сек на чужой половине поля;Овладевания после потерь в течение 5 сек;Овладевания после потерь в течение 5 сек на чужой половине поля;Среднее расстояние до ворот при овладеваниях, м.;Среднее расстояние до ворот при потерях, м.;Ведения мяча;Командный прессинг;Командный прессинг удачный, %;Владение мячом, %;Входы на половину соперника;Входы в последнюю четверть;Входы в штрафную соперника;УОВК;УОВС;Атаки позиционные;Атаки быстрые;Передачи точные;Удары от ворот длинные (от 40 м.);Удары от ворот средние (от 15 до 40 м.);Удары от ворот короткие (от 0 до 15 м.);Удары от ворот;Голевые моменты удачные;Удары точные, %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xG (ожидаемые голы);OxG (ожидаемые голы соперника);NxG (разница xG - OxG);xPoints (ожидаемые очки);xGC (конверсия xG);xGPS (xG на удар);OxGPS (xG на удар соперника);xGPG (xG на гол);OxGPG (xG на гол соперника);Удары от ворот короткие (от 0 до 15 м.) точные;Удары от ворот короткие (от 0 до 15 м.) точные, %;Удары от ворот средние (от 15 до 40 м.) точные;Удары от ворот средние (от 15 до 40 м.) точные, %;Удары от ворот длинные (от 40 м.) точные;Удары от ворот длинные (от 40 м.) точные, %;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи в штрафную точные;Передачи с аутов;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные;Перехваты;Подборы;ТТД;ТТД удачные;ТТД удачные, %
В среднем на команду;1.6;5.7;29 %;10.9;1.8;0.1;–;1.6;4.8;12.3;4.6;4.6;89 %;442.6;82 %;6.2;2.8;44 %;11.7;27 %;91.2;69 %;31.1;69 %;8.6;68 %;30.2;49 %;161.6;50 %;80.8;52 %;80.8;48 %;51.6;50 %;23.1;61 %;13;57 %;29.7;53 %;64.6;13.9;7.6;46.2;8.9;7.6;2.6;1;0.1;75.7;39.2;19.4;15.2;49 %;50 %;57.5;38.6;16.6;0.3;1;56.6;12.1;363.8;3.8;0.6;0.8;5.1;1.6;38 %;4.9;2.7;0.1;1.6;1.6;0;1.2;1;0.1;0.1;1;1;0.8;100 %;0.6;100 %;3.2;85 %;3.2;62.6;21.3;5.9;14.8;17;80.8;42.2;38.6;25.8;14;7.4;15.7;48.4;61.2;762.9;582.9;76 %
ФК Краснодар;3;9;33 %;13;1;–;4-3-3 down;3;3;11;7;7;100 %;513;87 %;12;5;42 %;6;50 %;97;77 %;38;76 %;8;63 %;21;57 %;138;51 %;66;59 %;72;44 %;32;47 %;26;62 %;14;50 %;42;60 %;66;15;9;47;12;6;2;1;–;75.43;42.26;23;19;58 %;55 %;51;34;14;1;5;50;17;446;1;2;4;7;3;64 %;3;1;–;1.95;1.98;-0.03;0.7;1.54;0.18;0.15;0.65;1.98;4;100 %;2;100 %;1;100 %;3;75;29;5;12;8;71;39;32;15;16;7;25;49;56;808;655;81 %
Спартак Москва;3;10;30 %;13;2;–;4-3-3 down;2;13;19;7;1;100 %;431;83 %;15;7;47 %;8;0 %;70;80 %;17;59 %;4;75 %;37;54 %;126;49 %;47;57 %;79;44 %;32;50 %;28;75 %;16;75 %;20;60 %;63;14;9;39;8;8;2;1;–;74.03;37.87;23;12;67 %;53 %;72;52;26;–;1;58;15;358;–;1;–;1;3;37 %;4;8;–;2.36;1.23;1.13;2.3;1.27;0.12;0.18;0.79;0.62;–;–;1;100 %;–;–;–;56;10;3;20;21;62;27;35;16;21;12;12;36;62;716;549;77 %
Крылья Советов;2;7;29 %;8;2;–;4-4-2 classic;2;8;10;6;9;100 %;318;81 %;5;2;40 %;8;25 %;73;68 %;38;74 %;12;83 %;22;45 %;182;48 %;84;55 %;98;43 %;55;38 %;33;67 %;21;62 %;36;58 %;63;9;10;47;3;8;1;2;–;80.41;39.06;22;17;29 %;40 %;56;38;16;–;–;52;13;257;9;–;–;9;2;60 %;3;1;–;1.46;2.38;-0.92;0.5;1.37;0.15;0.11;0.73;2.38;–;–;–;–;9;100 %;2;50;28;10;10;14;88;46;42;21;22;13;21;59;63;672;497;74 %
Локомотив Москва;2;6;33 %;13;1;–;4-2-3-1;1;8;14;7;10;100 %;509;79 %;5;2;40 %;18;33 %;93;67 %;36;78 %;6;100 %;37;59 %;204;48 %;96;44 %;108;51 %;53;42 %;35;66 %;22;68 %;37;43 %;66;15;7;42;9;7;3;1;–;77.06;37.61;24;15;53 %;53 %;70;52;25;–;3;69;17;404;7;1;2;10;2;50 %;5;2;–;1.29;1.13;0.16;1.5;1.55;0.09;0.06;0.64;0.56;2;100 %;1;100 %;7;100 %;6;62;28;6;22;26;97;42;55;22;23;15;16;57;65;890;659;74 %
Оренбург;2;6;33 %;8;4;–;4-3-3 down;2;2;7;4;3;100 %;406;82 %;6;2;33 %;12;33 %;72;58 %;35;51 %;12;25 %;28;29 %;126;51 %;79;56 %;47;43 %;32;50 %;14;57 %;9;56 %;39;46 %;64;13;12;45;8;3;2;1;–;78.84;40.23;21;11;36 %;47 %;42;32;15;1;–;48;8;333;2;–;1;3;2;57 %;2;–;1;1.23;2.36;-1.13;0.3;1.63;0.18;0.12;0.62;0.79;1;100 %;–;–;2;100 %;4;42;18;3;8;11;64;44;20;16;8;5;18;56;58;696;541;78 %
Ростов;2;5;40 %;15;2;–;3-5-2002;2;4;15;6;1;50 %;454;80 %;4;2;50 %;20;20 %;91;64 %;35;63 %;11;45 %;47;36 %;160;46 %;71;39 %;89;51 %;68;53 %;22;77 %;12;75 %;12;42 %;62;16;4;47;7;9;3;1;–;79.44;40.89;23;12;67 %;62 %;53;37;17;1;–;55;8;362;1;–;1;2;2;40 %;6;3;–;1.84;2.19;-0.35;0.7;01.09;0.12;0.14;0.92;2.19;1;100 %;–;–;–;0 %;4;58;22;5;17;18;73;28;45;36;17;9;5;39;85;793;595;75 %
Рубин Казань;2;4;50 %;11;1;–;3-5-2*;1;3;18;6;4;80 %;402;78 %;5;4;80 %;9;33 %;88;64 %;32;66 %;10;80 %;27;56 %;204;52 %;108;49 %;96;56 %;53;58 %;29;72 %;12;75 %;41;44 %;59;15;10;57;14;6;2;1;–;75.07;41.7;17;22;50 %;47 %;60;41;15;1;–;55;20;312;4;–;1;5;2;33 %;10;2;–;1.13;1.29;-0.16;0.7;1.77;0.06;0.09;0.56;0.64;1;100 %;–;–;3;75 %;3;56;21;8;15;16;107;53;54;31;21;9;18;67;71;804;587;73 %
Сочи;2;5;40 %;11;1;–;3-4-2003;2;5;12;4;10;91 %;446;80 %;8;4;50 %;7;29 %;103;67 %;46;76 %;10;80 %;24;58 %;207;51 %;116;53 %;91;48 %;85;55 %;18;56 %;3;67 %;32;59 %;72;16;12;54;8;9;2;–;–;80.47;45.72;10;12;50 %;49 %;50;31;19;–;–;55;13;358;11;–;–;11;2;33 %;3;5;–;1.57;0.66;0.91;2;1.27;0.13;0.08;0.79;–;–;–;–;–;10;91 %;2;69;35;8;14;19;106;62;44;47;10;2;19;58;64;814;604;74 %
Урал Екатеринбург;2;7;29 %;10;2;–;3-4-2003;2;5;10;3;7;100 %;309;75 %;8;3;38 %;6;33 %;86;57 %;39;72 %;13;77 %;21;62 %;151;54 %;65;60 %;86;49 %;63;49 %;19;58 %;13;46 %;20;70 %;74;22;3;51;8;7;4;1;–;75.98;44.04;13;13;38 %;39 %;47;26;15;–;–;48;13;231;7;–;–;7;2;30 %;5;2;–;2.71;1.46;1.25;2.3;0.74;0.27;0.21;1.36;1.46;–;–;–;–;7;100 %;2;49;28;10;13;12;81;39;42;31;11;6;14;63;54;610;450;74 %
Зенит;2;6;33 %;6;1;–;4-3-3 down;1;6;11;2;–;–;732;91 %;6;3;50 %;22;27 %;124;82 %;18;78 %;3;67 %;40;48 %;125;50 %;58;52 %;67;48 %;25;44 %;20;60 %;14;57 %;14;64 %;56;10;9;39;9;8;4;2;–;75.11;34.98;24;12;58 %;74 %;64;55;22;–;–;72;5;663;–;–;–;–;2;18 %;5;3;1;0.93;0.76;0.17;1.5;2.15;0.08;0.15;0.47;–;–;–;–;–;–;–;6;102;14;2;19;20;62;30;32;11;12;8;9;30;46;982;831;85 %
ЦСКА Москва;1;5;20 %;8;2;–;3-4-2003;–;3;7;3;5;100 %;583;85 %;5;3;60 %;11;36 %;112;69 %;36;69 %;11;82 %;31;52 %;151;46 %;86;51 %;65;40 %;63;51 %;16;38 %;9;44 %;24;54 %;74;17;4;54;14;15;3;2;–;71.42;37.71;11;14;64 %;61 %;63;31;9;1;2;73;7;496;2;1;2;5;1;43 %;2;2;–;1.46;2.71;-1.25;0.3;0.68;0.21;0.27;1.46;1.36;2;100 %;1;100 %;2;100 %;4;77;25;9;16;9;70;44;26;32;6;4;13;43;62;869;687;79 %
Динамо Москва;1;6;17 %;10;1;–;4-2-3-1;2;4;13;4;3;100 %;492;83 %;10;3;30 %;15;13 %;103;64 %;15;80 %;3;67 %;33;39 %;138;49 %;72;56 %;66;41 %;32;53 %;38;45 %;22;32 %;30;47 %;63;13;3;41;8;6;1;–;–;73.93;34.62;29;26;42 %;45 %;66;44;17;–;3;64;12;406;–;2;1;3;1;31 %;8;1;–;1.98;1.95;0.03;1.5;0.51;0.15;0.18;1.98;0.65;1;100 %;2;100 %;–;–;2;66;12;2;13;20;67;40;27;17;17;7;14;39;51;777;601;77 %
