Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Василий Алейников;Шинник;244;98;П ПЦ;1.00;-;1.00;1.00;100 %;-;5.00;1.00;-;-;-;-;-;2.00;1.00;0.21;50.00;74 %;-;-;-;-;13.00;38 %;1.00;100 %;-;-;5.00;20 %;1.00;0 %;10.00;1.00;2.00;7.00;3.00;2.00;16.00;56 %;8.00;50 %;8.00;63 %;6.00;67 %;-;-;-;-;1.00;0 %;11.00;13.00;1;1.00;-;-;97.00;74.00;76 %;50 %;1.00;-;-;-;0.10;0.21;4.76;0.53;1.46;-0.93;0.36;0.12;37.00;-;-;5.00;1.00;-;1.00;-;9.00;4.00;5.00;4.00;-;-;-
Вячеслав Бардыбахин;Енисей Красноярск;237;98;З П;-;-;-;-;-;1.00;-;-;-;-;-;-;-;2.00;-;0.12;54.00;87 %;1.00;100 %;1.00;0 %;5.00;100 %;2.00;50 %;1.00;0 %;1.00;0 %;1.00;0 %;4.00;3.00;2.00;8.00;1.00;1.00;14.00;71 %;11.00;64 %;3.00;100 %;6.00;83 %;1.00;100 %;-;-;3.00;67 %;7.00;13.00;1;1.00;-;-;94.00;79.00;84 %;0 %;-;2.00;-;0.31;0.06;-;0.00;1.46;0.53;0.93;-;-;47.00;1.00;-;5.00;1.00;-;-;-;10.00;7.00;3.00;5.00;1.00;-;2.00
Никита Глушков;Енисей Красноярск;216;98;Ф ЛЦ;-;-;-;-;-;1.00;-;-;-;-;-;-;1.00;4.00;1.00;0.14;31.00;77 %;2.00;50 %;2.00;50 %;7.00;71 %;-;-;-;-;2.00;50 %;3.00;67 %;5.00;-;1.00;-;-;2.00;13.00;38 %;3.00;33 %;10.00;40 %;-;-;4.00;50 %;3.00;67 %;1.00;100 %;-;3.00;1;1.00;-;-;54.00;35.00;65 %;25 %;-;3.00;-;0.69;0.04;-;0.00;1.46;0.53;0.93;-;-;24.00;1.00;1.00;5.00;-;-;1.00;2.00;5.00;1.00;4.00;-;2.00;2.00;1.00
Владимир Хозин;Енисей Красноярск;199;98;З ПЦ;-;-;-;-;-;-;2.00;1.00;-;-;-;-;-;1.00;1.00;0.02;45.00;64 %;-;-;-;-;19.00;37 %;6.00;17 %;1.00;0 %;7.00;0 %;2.00;50 %;9.00;2.00;2.00;12.00;-;1.00;21.00;71 %;16.00;69 %;5.00;80 %;10.00;60 %;-;-;-;-;2.00;100 %;10.00;9.00;1;1.00;-;-;89.00;65.00;73 %;100 %;-;-;-;-;0.02;-;0.00;1.46;0.53;0.93;0.05;0.05;29.00;-;-;7.00;1.00;-;-;1.00;15.00;11.00;4.00;6.00;-;-;2.00
Олег Ланин;Енисей Красноярск;232;98;ЗП Ц;-;-;-;-;-;1.00;1.00;-;-;-;1.00;-;-;-;-;-;61.00;74 %;2.00;50 %;-;-;20.00;45 %;3.00;0 %;-;-;10.00;40 %;5.00;60 %;8.00;-;2.00;8.00;3.00;-;14.00;71 %;11.00;73 %;3.00;67 %;7.00;71 %;-;-;-;-;3.00;100 %;6.00;17.00;1;1.00;-;-;101.00;79.00;78 %;-;-;-;-;0.30;-;-;-;1.46;0.53;0.93;0.03;0.03;45.00;1.00;-;9.00;-;-;4.00;3.00;10.00;8.00;2.00;5.00;-;-;3.00
Александр Ломакин;Енисей Красноярск;184;98;АП Ц;-;-;1.00;-;0 %;1.00;-;1.00;1.00;1.00;-;-;-;2.00;-;0.18;41.00;73 %;2.00;0 %;1.00;0 %;11.00;55 %;2.00;0 %;-;-;8.00;50 %;8.00;38 %;8.00;-;1.00;2.00;-;1.00;9.00;22 %;5.00;20 %;4.00;25 %;2.00;0 %;-;-;-;-;-;-;3.00;4.00;1;1.00;-;-;62.00;41.00;66 %;0 %;-;1.00;1.00;0.28;0.09;-;0.00;1.46;0.53;0.93;-;-;30.00;-;-;6.00;-;-;4.00;3.00;2.00;1.00;1.00;-;-;-;-
Александр Масловский;Енисей Красноярск;265;98;ЗЛ;-;-;1.00;-;0 %;1.00;-;2.00;-;-;-;-;-;2.00;-;0.22;47.00;79 %;-;-;2.00;50 %;12.00;50 %;-;-;-;-;3.00;67 %;2.00;50 %;10.00;2.00;3.00;4.00;-;1.00;16.00;69 %;7.00;86 %;9.00;56 %;6.00;83 %;3.00;67 %;2.00;50 %;1.00;100 %;3.00;7.00;1;1.00;-;-;79.00;59.00;75 %;0 %;1.00;-;1.00;0.14;0.11;-;0.00;1.46;0.53;0.93;0.03;0.03;37.00;-;1.00;6.00;-;-;2.00;1.00;11.00;6.00;5.00;5.00;2.00;1.00;1.00
Никита Раздорских;Енисей Красноярск;210;98;П П;-;-;-;-;-;-;1.00;1.00;-;-;1.00;-;-;1.00;-;0.14;31.00;65 %;-;-;2.00;50 %;8.00;38 %;1.00;0 %;-;-;3.00;33 %;4.00;50 %;8.00;4.00;-;5.00;4.00;-;13.00;54 %;9.00;44 %;4.00;75 %;2.00;0 %;1.00;100 %;1.00;100 %;7.00;57 %;7.00;6.00;1;1.00;-;-;59.00;41.00;69 %;0 %;-;1.00;-;0.07;0.14;-;0.00;1.46;0.53;0.93;-;-;20.00;-;1.00;3.00;-;-;1.00;2.00;7.00;4.00;3.00;-;1.00;1.00;4.00
Артём Самсонов;Шинник;176;98;ЗП Ц;-;-;-;-;-;-;1.00;-;-;-;-;-;-;1.00;1.00;0.04;34.00;74 %;-;-;4.00;25 %;12.00;58 %;3.00;33 %;1.00;0 %;3.00;67 %;9.00;56 %;5.00;-;-;2.00;1.00;1.00;11.00;45 %;9.00;33 %;2.00;100 %;2.00;50 %;-;-;-;-;3.00;33 %;3.00;7.00;1;1.00;-;-;57.00;42.00;74 %;100 %;-;-;-;0.13;0.04;-;0.00;0.53;1.46;-0.93;-;-;25.00;-;1.00;7.00;1.00;-;2.00;5.00;5.00;3.00;2.00;1.00;-;-;1.00
Андрей Семенов;Шинник;180;98;З П;-;-;-;-;-;-;1.00;-;1.00;1.00;-;-;-;-;-;-;71.00;80 %;-;-;3.00;67 %;12.00;50 %;5.00;40 %;-;-;4.00;50 %;5.00;40 %;3.00;-;-;6.00;1.00;-;13.00;54 %;10.00;50 %;3.00;67 %;2.00;50 %;1.00;0 %;-;-;1.00;100 %;6.00;14.00;1;1.00;-;-;106.00;86.00;81 %;-;-;-;-;0.04;-;-;-;0.53;1.46;-0.93;0.04;0.04;57.00;-;2.00;6.00;2.00;-;2.00;2.00;7.00;5.00;2.00;1.00;-;-;1.00
