Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Нури Абдоков;Кубань Краснодар;208;98;АП ЛЦ;-;-;1.00;-;0 %;1.00;-;4.00;-;-;-;-;-;3.00;1.00;0.24;26.00;69 %;1.00;100 %;1.00;0 %;6.00;67 %;-;-;-;-;2.00;50 %;-;-;10.00;2.00;2.00;-;-;2.00;22.00;36 %;3.00;0 %;19.00;42 %;3.00;33 %;7.00;71 %;4.00;50 %;1.00;0 %;-;3.00;1;1.00;-;-;58.00;32.00;55 %;33 %;-;2.00;-;0.96;0.08;-;0.00;1.64;1.55;0.09;-;-;18.00;1.00;-;4.00;-;-;1.00;-;8.00;-;8.00;1.00;5.00;2.00;-
Саид Алиев;СКА-Хабаровск;205;98;Ф Ц;1.00;-;3.00;1.00;33 %;2.00;1.00;2.00;-;-;-;-;-;4.00;3.00;1.27;9.00;56 %;-;-;2.00;0 %;1.00;100 %;-;-;-;-;-;-;1.00;0 %;10.00;3.00;-;-;-;1.00;21.00;24 %;2.00;0 %;19.00;26 %;4.00;50 %;4.00;25 %;3.00;33 %;2.00;0 %;-;3.00;1;1.00;-;-;39.00;18.00;46 %;75 %;-;1.00;-;0.04;0.32;1.27;0.79;0.82;2.81;-1.99;-;-;5.00;-;-;1.00;-;-;-;-;5.00;-;5.00;2.00;1.00;1.00;-
Юрий Бавин;СКА-Хабаровск;198;98;ЗП Ц;-;-;-;-;-;-;3.00;-;-;-;-;-;-;1.00;-;0.04;70.00;86 %;-;-;1.00;0 %;15.00;60 %;8.00;50 %;-;-;10.00;50 %;8.00;50 %;7.00;1.00;1.00;6.00;2.00;1.00;18.00;39 %;10.00;50 %;8.00;25 %;-;-;3.00;33 %;1.00;0 %;4.00;75 %;10.00;5.00;1;1.00;-;-;106.00;83.00;78 %;0 %;1.00;-;-;0.02;0.04;-;0.00;0.82;2.81;-1.99;-;-;60.00;-;-;9.00;4.00;-;5.00;4.00;7.00;5.00;2.00;-;1.00;-;3.00
Валерий Чуперка;Кубань Краснодар;191;98;ЗП ПЦ;-;-;-;-;-;-;3.00;1.00;-;-;-;-;-;-;-;-;51.00;71 %;-;-;-;-;14.00;43 %;4.00;75 %;-;-;7.00;57 %;1.00;0 %;7.00;2.00;-;8.00;3.00;1.00;20.00;80 %;12.00;83 %;8.00;75 %;4.00;75 %;1.00;100 %;1.00;100 %;5.00;80 %;5.00;15.00;1;1.00;-;-;92.00;73.00;79 %;-;-;-;-;-;-;-;-;1.64;1.55;0.09;-;-;36.00;-;-;6.00;3.00;-;4.00;-;16.00;10.00;6.00;3.00;1.00;1.00;4.00
Роман Денисов;Нефтехимик Нижнекамск;251;98;ЗП ПЦ;1.00;-;1.00;1.00;100 %;-;3.00;1.00;-;-;1.00;-;-;1.00;1.00;0.35;41.00;80 %;-;-;-;-;10.00;60 %;2.00;50 %;-;-;4.00;50 %;-;-;3.00;1.00;-;12.00;2.00;-;28.00;71 %;21.00;67 %;7.00;86 %;10.00;80 %;3.00;67 %;1.00;100 %;7.00;43 %;8.00;18.00;1;1.00;-;-;97.00;81.00;84 %;100 %;-;-;-;0.10;0.35;0.35;2.86;1.55;1.64;-0.09;-;-;33.00;-;-;6.00;1.00;-;2.00;-;20.00;14.00;6.00;8.00;2.00;1.00;3.00
Артур Гилязетдинов;ФК Волгарь;221;98;ЗП П;-;-;1.00;-;0 %;1.00;-;1.00;-;1.00;-;-;-;2.00;-;0.19;33.00;79 %;-;-;3.00;67 %;5.00;80 %;1.00;0 %;-;-;2.00;50 %;2.00;50 %;5.00;1.00;1.00;1.00;-;4.00;11.00;73 %;7.00;71 %;4.00;75 %;3.00;67 %;2.00;100 %;1.00;100 %;4.00;75 %;4.00;10.00;1;1.00;-;-;66.00;53.00;80 %;0 %;1.00;1.00;-;0.32;0.10;-;0.00;2.81;0.82;1.99;0.45;0.15;26.00;-;2.00;4.00;-;-;1.00;1.00;8.00;5.00;3.00;2.00;2.00;1.00;3.00
Иван Хомуха;ФК Волгарь;194;98;З Ц;-;-;-;-;-;-;-;-;-;1.00;-;-;-;1.00;-;0.07;21.00;71 %;-;-;-;-;9.00;56 %;3.00;67 %;1.00;100 %;4.00;100 %;-;-;4.00;2.00;1.00;6.00;-;-;14.00;79 %;13.00;77 %;1.00;100 %;2.00;50 %;1.00;100 %;-;-;6.00;67 %;4.00;5.00;1;1.00;-;-;48.00;37.00;77 %;0 %;-;1.00;-;-;0.07;-;0.00;2.81;0.82;1.99;0.04;0.04;15.00;-;-;5.00;2.00;1.00;4.00;-;11.00;10.00;1.00;1.00;1.00;-;4.00
Павел Котов;Нефтехимик Нижнекамск;238;98;П Л;1.00;1.00;2.00;1.00;50 %;3.00;-;-;-;-;-;-;-;2.00;1.00;0.15;49.00;65 %;2.00;100 %;6.00;17 %;13.00;77 %;3.00;67 %;-;-;6.00;67 %;16.00;56 %;9.00;3.00;-;4.00;1.00;1.00;13.00;15 %;6.00;33 %;7.00;0 %;3.00;33 %;-;-;-;-;3.00;33 %;2.00;14.00;1;1.00;-;-;81.00;52.00;64 %;50 %;1.00;-;-;0.95;0.07;0.15;6.67;1.55;1.64;-0.09;-;-;32.00;2.00;1.00;10.00;2.00;-;4.00;9.00;2.00;2.00;-;1.00;-;-;1.00
Олег Кожемякин;СКА-Хабаровск;175;98;З ПЦ;-;-;-;-;-;-;1.00;-;1.00;2.00;-;-;1.00;-;-;-;76.00;87 %;-;-;-;-;23.00;78 %;7.00;43 %;-;-;16.00;75 %;1.00;100 %;7.00;2.00;-;7.00;1.00;1.00;19.00;26 %;13.00;23 %;6.00;33 %;10.00;30 %;-;-;-;-;1.00;0 %;5.00;8.00;1;1.00;-;-;109.00;85.00;78 %;-;-;-;-;-;-;-;-;0.82;2.81;-1.99;0.32;0.32;66.00;-;-;18.00;3.00;-;12.00;1.00;5.00;3.00;2.00;3.00;-;-;-
Гаррик Левин;Кубань Краснодар;235;98;АП ПЦ;1.00;-;2.00;1.00;50 %;-;-;1.00;-;-;-;-;-;3.00;2.00;1.11;28.00;79 %;-;-;-;-;6.00;67 %;1.00;100 %;-;-;3.00;67 %;-;-;13.00;1.00;-;1.00;-;-;33.00;45 %;9.00;67 %;24.00;38 %;7.00;29 %;6.00;50 %;2.00;50 %;5.00;100 %;-;5.00;1;1.00;-;-;69.00;44.00;64 %;67 %;1.00;-;-;0.10;0.37;1.11;0.90;1.64;1.55;0.09;-;-;22.00;-;-;4.00;1.00;-;2.00;-;15.00;6.00;9.00;2.00;3.00;1.00;5.00
