Футболист;Команда;Индекс;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Руслан Байтуков;Тюмень;209;99;З ПЦ;-;-;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;89.00;84 %;-;-;1.00;0 %;15.00;73 %;3.00;0 %;-;-;6.00;50 %;6.00;83 %;5.00;1.00;-;11.00;3.00;1.00;14.00;71 %;12.00;67 %;2.00;100 %;7.00;86 %;-;-;-;-;3.00;33 %;10.00;5.00;1;1.00;-;-;119.00;101.00;85 %;-;-;-;-;-;-;-;-;1.71;3.84;-2.13;0.77;0.15;75.00;-;-;11.00;-;-;3.00;5.00;10.00;8.00;2.00;6.00;-;-;1.00
Кирилл Большаков;Арсенал Тула;221;99;З ЛЦ;1.00;-;1.00;1.00;100 %;-;1.00;1.00;1.00;2.00;-;-;-;2.00;2.00;0.93;33.00;85 %;-;-;-;-;6.00;50 %;3.00;33 %;-;-;3.00;67 %;-;-;2.00;1.00;1.00;9.00;-;-;9.00;33 %;8.00;38 %;1.00;0 %;7.00;43 %;-;-;-;-;-;-;17.00;5.00;1;1.00;-;-;68.00;56.00;82 %;100 %;-;-;-;-;0.47;0.93;1.8;3.84;1.71;2.13;0.94;0.31;28.00;-;-;3.00;1.00;-;2.00;-;3.00;3.00;-;3.00;-;-;-
Игорь Дружинин;Тюмень;199;99;ЗП ПЦ;-;-;-;-;-;1.00;2.00;2.00;-;1.00;-;-;-;-;-;-;75.00;79 %;2.00;50 %;1.00;100 %;13.00;69 %;3.00;0 %;1.00;0 %;4.00;50 %;3.00;67 %;9.00;3.00;-;5.00;2.00;4.00;21.00;52 %;10.00;60 %;11.00;45 %;9.00;44 %;2.00;100 %;-;-;5.00;60 %;11.00;7.00;1;1.00;-;-;118.00;92.00;78 %;-;-;-;-;0.33;-;-;-;1.71;3.84;-2.13;-;-;59.00;1.00;1.00;9.00;-;-;2.00;2.00;11.00;6.00;5.00;4.00;2.00;-;3.00
Максим Кайнов;Арсенал Тула;238;99;ЗП Ц;-;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;30.00;63 %;1.00;100 %;-;-;8.00;50 %;1.00;0 %;-;-;6.00;17 %;1.00;0 %;3.00;2.00;1.00;5.00;1.00;1.00;15.00;67 %;14.00;71 %;1.00;0 %;7.00;86 %;-;-;-;-;4.00;50 %;12.00;9.00;1;1.00;-;-;69.00;52.00;75 %;-;-;-;-;1.28;-;-;-;3.84;1.71;2.13;-;-;19.00;1.00;-;4.00;-;-;1.00;-;10.00;10.00;-;6.00;-;-;2.00
Александр Коротков;Арсенал Тула;230;99;З П;-;-;-;-;-;-;-;-;-;1.00;-;-;-;3.00;1.00;0.06;35.00;66 %;1.00;0 %;5.00;40 %;4.00;25 %;-;-;-;-;5.00;20 %;5.00;40 %;6.00;2.00;1.00;6.00;3.00;2.00;9.00;78 %;5.00;80 %;4.00;75 %;4.00;75 %;1.00;100 %;-;-;3.00;67 %;8.00;8.00;1;1.00;-;-;66.00;49.00;74 %;33 %;2.00;-;-;0.03;0.02;-;0.00;3.84;1.71;2.13;0.26;0.26;23.00;-;2.00;1.00;-;-;1.00;2.00;7.00;4.00;3.00;3.00;1.00;-;2.00
Джонатан Теофилис Окоронкво;Арсенал Тула;253;99;Ф Ц;1.00;1.00;3.00;1.00;33 %;2.00;3.00;-;-;-;-;-;2.00;2.00;2.00;1.8;17.00;65 %;2.00;50 %;-;-;2.00;50 %;-;-;-;-;1.00;100 %;1.00;0 %;13.00;2.00;1.00;3.00;2.00;2.00;25.00;36 %;4.00;25 %;21.00;38 %;12.00;25 %;1.00;100 %;1.00;100 %;1.00;0 %;3.00;5.00;1;1.00;-;-;55.00;32.00;58 %;100 %;-;-;-;1.2;0.54;1.8;0.93;3.84;1.71;2.13;-;-;11.00;1.00;-;1.00;-;-;1.00;-;9.00;1.00;8.00;3.00;1.00;1.00;-
Артём Попов;Арсенал Тула;203;99;ЗЛ;-;-;-;-;-;-;-;4.00;-;-;-;-;-;1.00;-;0.12;45.00;67 %;-;-;-;-;10.00;40 %;1.00;0 %;-;-;5.00;60 %;3.00;33 %;7.00;1.00;-;9.00;4.00;-;17.00;59 %;10.00;60 %;7.00;57 %;4.00;50 %;3.00;67 %;1.00;100 %;6.00;83 %;10.00;7.00;1;1.00;-;-;80.00;57.00;71 %;0 %;1.00;-;-;-;0.12;-;0.00;3.84;1.71;2.13;-;-;30.00;-;-;4.00;-;-;3.00;1.00;10.00;6.00;4.00;2.00;2.00;1.00;5.00
Денис Самойлов;Тюмень;190;99;ЗП ПЦ;-;-;-;-;-;-;2.00;2.00;-;-;-;-;-;-;-;-;79.00;80 %;1.00;0 %;1.00;0 %;17.00;53 %;5.00;60 %;1.00;0 %;11.00;64 %;3.00;0 %;10.00;4.00;-;4.00;-;2.00;13.00;54 %;5.00;40 %;8.00;63 %;2.00;50 %;3.00;33 %;1.00;0 %;3.00;67 %;10.00;7.00;1;1.00;-;-;111.00;89.00;80 %;-;-;-;-;-;-;-;-;1.71;3.84;-2.13;0.21;0.07;63.00;-;-;9.00;3.00;-;7.00;-;7.00;2.00;5.00;1.00;1.00;-;2.00
Антон Синяк;Тюмень;205;99;ЗЛ;-;-;-;-;-;1.00;1.00;1.00;-;1.00;-;-;-;-;-;-;53.00;89 %;-;-;3.00;33 %;6.00;67 %;4.00;50 %;1.00;0 %;5.00;80 %;1.00;100 %;3.00;2.00;-;9.00;-;3.00;18.00;61 %;14.00;71 %;4.00;25 %;5.00;100 %;-;-;-;-;3.00;67 %;7.00;7.00;1;1.00;-;-;88.00;75.00;85 %;-;-;-;-;0.17;-;-;-;1.71;3.84;-2.13;0.08;0.04;47.00;-;1.00;4.00;2.00;-;4.00;1.00;11.00;10.00;1.00;5.00;-;-;2.00
Евгений Татаринов;Тюмень;207;99;Ф Ц;1.00;-;3.00;1.00;33 %;1.00;3.00;1.00;1.00;1.00;-;-;4.00;3.00;1.00;0.82;9.00;78 %;-;-;-;-;1.00;0 %;-;-;-;-;1.00;0 %;-;-;13.00;1.00;2.00;-;-;-;20.00;45 %;3.00;33 %;17.00;47 %;10.00;30 %;1.00;0 %;-;-;1.00;100 %;1.00;-;1;1.00;-;-;35.00;18.00;51 %;33 %;1.00;1.00;-;-;0.27;0.82;1.22;1.71;3.84;-2.13;-;-;7.00;-;-;-;-;-;-;-;9.00;1.00;8.00;3.00;-;-;1.00
Сергей Ткачёв;Арсенал Тула;202;99;АП П;-;-;-;-;-;2.00;1.00;1.00;-;-;-;-;-;3.00;-;0.41;24.00;71 %;1.00;100 %;1.00;0 %;3.00;33 %;-;-;-;-;2.00;0 %;5.00;80 %;6.00;-;-;-;-;-;17.00;35 %;6.00;33 %;11.00;36 %;6.00;17 %;2.00;0 %;2.00;0 %;3.00;67 %;3.00;5.00;1;1.00;-;-;52.00;31.00;60 %;0 %;1.00;2.00;-;2.40;0.14;-;0.00;3.84;1.71;2.13;-;-;17.00;1.00;-;1.00;-;-;-;4.00;6.00;2.00;4.00;1.00;-;-;2.00
Абдуллахи Самину Квари;Динамо Махачкала;212;98;ЗП Ц;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;1.00;-;0.02;28.00;61 %;-;-;-;-;13.00;31 %;2.00;0 %;-;-;7.00;14 %;-;-;6.00;1.00;-;4.00;-;3.00;17.00;65 %;10.00;60 %;7.00;71 %;5.00;40 %;2.00;100 %;-;-;7.00;71 %;9.00;9.00;1;1.00;-;-;68.00;50.00;74 %;0 %;1.00;-;-;-;0.02;-;0.00;1.49;0.83;0.66;0.01;0.01;17.00;-;-;4.00;-;-;1.00;-;11.00;6.00;5.00;2.00;2.00;-;5.00
Муталип Алибеков;Динамо Махачкала;210;98;З Ц;-;-;-;-;-;-;-;1.00;-;2.00;-;-;-;-;-;-;14.00;86 %;-;-;-;-;5.00;80 %;3.00;33 %;-;-;1.00;0 %;-;-;1.00;-;-;9.00;-;-;15.00;73 %;14.00;79 %;1.00;0 %;5.00;60 %;-;-;-;-;3.00;67 %;8.00;2.00;1;1.00;-;-;39.00;33.00;85 %;-;-;-;-;-;-;-;-;1.49;0.83;0.66;0.13;0.13;12.00;-;-;4.00;1.00;-;-;-;11.00;11.00;-;3.00;-;-;2.00
Саид Алиев;СКА-Хабаровск;161;98;Ф Ц;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;-;-;6.00;33 %;-;-;-;-;3.00;0 %;-;-;-;-;1.00;0 %;1.00;100 %;8.00;1.00;1.00;-;-;2.00;15.00;27 %;1.00;100 %;14.00;21 %;4.00;25 %;4.00;50 %;3.00;33 %;-;-;-;1.00;1;1.00;-;-;25.00;9.00;36 %;-;-;-;-;-;-;-;-;0.83;1.49;-0.66;-;-;2.00;-;-;-;-;-;-;1.00;4.00;1.00;3.00;1.00;2.00;1.00;-
Юрий Бавин;СКА-Хабаровск;222;98;ЗП ПЦ;-;-;-;-;-;-;1.00;2.00;-;1.00;-;-;-;2.00;-;0.11;74.00;93 %;-;-;-;-;13.00;92 %;3.00;100 %;-;-;5.00;100 %;4.00;50 %;4.00;1.00;1.00;7.00;3.00;3.00;16.00;69 %;10.00;60 %;6.00;83 %;5.00;100 %;-;-;-;-;2.00;50 %;9.00;10.00;1;1.00;-;-;115.00;102.00;89 %;0 %;-;2.00;-;-;0.06;-;0.00;0.83;1.49;-0.66;-;-;69.00;-;-;12.00;3.00;-;5.00;2.00;11.00;6.00;5.00;5.00;-;-;1.00
Никита Глушков Мах;Динамо Махачкала;226;98;АП ПЦ;-;-;-;-;-;-;1.00;1.00;-;-;1.00;-;-;1.00;-;0.09;19.00;89 %;-;-;-;-;2.00;50 %;-;-;-;-;-;-;-;-;5.00;1.00;1.00;3.00;1.00;-;18.00;44 %;8.00;38 %;10.00;50 %;3.00;33 %;2.00;100 %;-;-;3.00;67 %;5.00;7.00;1;1.00;-;-;51.00;37.00;73 %;0 %;1.00;-;-;-;0.09;-;0.00;1.49;0.83;0.66;-;-;17.00;-;-;1.00;-;-;-;-;8.00;3.00;5.00;1.00;2.00;-;2.00
Сослан Кагермазов;Динамо Махачкала;207;98;ЗП П;-;-;-;-;-;1.00;1.00;1.00;-;-;-;-;-;-;-;-;24.00;71 %;1.00;100 %;1.00;100 %;9.00;56 %;4.00;0 %;1.00;0 %;8.00;63 %;2.00;100 %;7.00;1.00;1.00;2.00;-;-;11.00;55 %;5.00;60 %;6.00;50 %;5.00;40 %;-;-;-;-;5.00;60 %;3.00;3.00;1;1.00;-;-;42.00;29.00;69 %;-;-;-;-;0.07;-;-;-;1.49;0.83;0.66;-;-;17.00;1.00;1.00;5.00;-;-;5.00;2.00;6.00;3.00;3.00;2.00;-;-;3.00
Владимир Ковачевич;Динамо Махачкала;216;98;З ПЦ;-;-;1.00;-;0 %;-;1.00;-;-;1.00;-;-;-;1.00;1.00;0.19;25.00;64 %;-;-;-;-;8.00;50 %;2.00;100 %;-;-;7.00;57 %;-;-;5.00;-;-;7.00;1.00;-;8.00;88 %;7.00;86 %;1.00;100 %;4.00;100 %;-;-;-;-;2.00;50 %;16.00;2.00;1;1.00;-;-;52.00;42.00;81 %;100 %;-;-;-;-;0.19;-;0.00;1.49;0.83;0.66;0.10;0.05;16.00;-;-;4.00;2.00;-;4.00;-;7.00;6.00;1.00;4.00;-;-;1.00
