Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Срджан Бабич;Спартак Москва;207;100;З ЛЦ;-;-;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;82.00;93 %;-;-;-;-;15.00;73 %;3.00;67 %;-;-;5.00;40 %;-;-;4.00;-;-;7.00;2.00;3.00;11.00;27 %;10.00;30 %;1.00;0 %;6.00;50 %;-;-;-;-;1.00;0 %;6.00;8.00;1;1.00;-;-;110.00;96.00;87 %;-;-;-;-;0.43;-;-;-;0.73;1.33;-0.60;0.39;0.39;76.00;-;-;11.00;2.00;-;2.00;-;3.00;3.00;-;3.00;-;-;-
Ясмин Челикович;ФК Ахмат;225;100;З ЛЦ;-;-;-;-;-;-;-;-;-;-;-;-;1.00;1.00;-;0.02;75.00;88 %;1.00;0 %;-;-;24.00;83 %;5.00;60 %;-;-;13.00;85 %;-;-;4.00;-;-;13.00;1.00;9.00;16.00;69 %;12.00;67 %;4.00;75 %;8.00;75 %;-;-;-;-;5.00;60 %;8.00;12.00;1;1.00;-;-;121.00;106.00;88 %;0 %;1.00;-;-;-;0.02;-;0.00;0.93;2.47;-1.54;-;-;66.00;-;-;20.00;3.00;-;11.00;-;11.00;8.00;3.00;6.00;-;-;3.00
Роша;ЦСКА Москва;248;100;З Ц;-;-;1.00;-;0 %;-;-;1.00;-;1.00;-;-;-;2.00;-;0.48;34.00;62 %;1.00;0 %;-;-;13.00;38 %;4.00;50 %;-;-;9.00;33 %;-;-;7.00;1.00;-;10.00;1.00;1.00;12.00;92 %;8.00;88 %;4.00;100 %;6.00;83 %;2.00;100 %;-;-;3.00;100 %;10.00;8.00;1;1.00;-;-;69.00;53.00;77 %;0 %;2.00;-;-;-;0.24;-;0.00;1.33;0.73;0.60;-;-;21.00;-;-;5.00;2.00;-;3.00;-;11.00;7.00;4.00;5.00;2.00;-;3.00
Мирлинд Даку;Рубин Казань;244;100;Ф Ц;-;-;1.00;-;0 %;1.00;6.00;-;-;-;-;-;1.00;3.00;1.00;0.57;22.00;86 %;1.00;100 %;1.00;0 %;6.00;100 %;1.00;100 %;1.00;100 %;3.00;100 %;5.00;80 %;19.00;-;1.00;2.00;-;3.00;38.00;42 %;3.00;67 %;35.00;40 %;15.00;47 %;8.00;63 %;4.00;50 %;2.00;100 %;2.00;6.00;1;1.00;-;-;75.00;47.00;63 %;33 %;2.00;-;-;0.71;0.19;-;0.00;2.47;0.93;1.54;-;-;19.00;1.00;-;6.00;1.00;1.00;3.00;4.00;16.00;2.00;14.00;7.00;5.00;2.00;2.00
Даниил Денисов;Спартак Москва;203;100;З П;-;-;-;-;-;-;1.00;-;2.00;2.00;-;-;-;-;-;-;81.00;79 %;-;-;3.00;33 %;13.00;62 %;1.00;0 %;-;-;5.00;40 %;3.00;33 %;10.00;5.00;2.00;8.00;2.00;2.00;19.00;58 %;12.00;67 %;7.00;43 %;4.00;50 %;2.00;50 %;1.00;100 %;2.00;100 %;14.00;5.00;1;1.00;-;-;124.00;97.00;78 %;-;-;-;-;-;-;-;-;0.73;1.33;-0.60;0.09;0.09;64.00;-;1.00;8.00;-;-;2.00;1.00;11.00;8.00;3.00;2.00;1.00;1.00;2.00
Алексис Давид Дуарте Перейра;Спартак Москва;264;100;З ПЦ;-;-;-;-;-;-;-;1.00;-;1.00;-;-;-;-;-;-;79.00;92 %;-;-;-;-;9.00;89 %;1.00;0 %;-;-;1.00;100 %;-;-;3.00;-;-;11.00;-;-;8.00;88 %;5.00;100 %;3.00;67 %;3.00;100 %;1.00;100 %;1.00;100 %;1.00;100 %;10.00;7.00;1;1.00;-;-;105.00;98.00;93 %;-;-;-;-;-;-;-;-;0.73;1.33;-0.60;0.13;0.07;73.00;-;-;8.00;-;-;1.00;-;7.00;5.00;2.00;3.00;1.00;1.00;1.00
Аббосбек Файзуллаев;ЦСКА Москва;237;100;АП ЛЦ;-;-;1.00;-;0 %;-;1.00;-;-;-;1.00;-;-;1.00;1.00;0.04;32.00;59 %;2.00;0 %;1.00;100 %;5.00;40 %;-;-;-;-;2.00;0 %;4.00;25 %;13.00;1.00;2.00;4.00;1.00;3.00;25.00;40 %;12.00;42 %;13.00;38 %;8.00;25 %;3.00;67 %;1.00;0 %;7.00;57 %;5.00;5.00;1;1.00;-;-;73.00;43.00;59 %;100 %;-;-;-;-;0.04;-;0.00;1.33;0.73;0.60;-;-;19.00;-;1.00;2.00;-;-;-;1.00;10.00;5.00;5.00;2.00;2.00;-;4.00
Милан Гайич;ЦСКА Москва;278;100;ЗП Л;2.00;-;3.00;2.00;67 %;-;3.00;1.00;-;1.00;1.00;-;-;2.00;2.00;0.09;41.00;66 %;2.00;0 %;6.00;33 %;5.00;20 %;-;-;-;-;3.00;67 %;3.00;33 %;5.00;2.00;-;4.00;1.00;-;8.00;38 %;3.00;67 %;5.00;20 %;1.00;0 %;2.00;0 %;1.00;0 %;1.00;100 %;5.00;3.00;1;1.00;-;-;59.00;40.00;68 %;100 %;-;-;-;0.31;0.04;0.04;22.22;1.33;0.73;0.60;-;-;27.00;-;2.00;1.00;-;-;2.00;1.00;3.00;2.00;1.00;-;-;-;1.00
Алексей Грицаенко;Рубин Казань;251;100;З ЛЦ;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;31.00;90 %;-;-;-;-;8.00;88 %;2.00;100 %;-;-;5.00;80 %;-;-;5.00;3.00;-;13.00;-;2.00;14.00;79 %;14.00;79 %;-;-;4.00;50 %;-;-;-;-;4.00;100 %;13.00;7.00;1;1.00;-;-;69.00;63.00;91 %;-;-;-;-;-;-;-;-;2.47;0.93;1.54;0.24;0.08;28.00;-;-;7.00;2.00;-;4.00;-;11.00;11.00;-;2.00;-;-;4.00
Угочукву Ивву Кристус;Рубин Казань;231;100;ЗП ПЦ;-;-;-;-;-;-;1.00;-;-;-;-;-;-;-;-;-;34.00;82 %;1.00;0 %;-;-;9.00;67 %;2.00;50 %;1.00;0 %;4.00;50 %;-;-;1.00;1.00;-;8.00;1.00;-;13.00;62 %;9.00;44 %;4.00;100 %;3.00;67 %;2.00;100 %;-;-;6.00;67 %;10.00;13.00;1;1.00;-;-;70.00;59.00;84 %;-;-;-;-;0.04;-;-;-;2.47;0.93;1.54;-;-;28.00;-;-;6.00;1.00;-;2.00;-;8.00;4.00;4.00;2.00;2.00;-;4.00
