Футболист;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Эли Даса;Динамо Москва;256;102;З П;-;-;-;-;-;-;1.00;1.00;1.00;1.00;-;-;-;-;-;-;46.00;87 %;2.00;0 %;2.00;50 %;13.00;69 %;2.00;0 %;-;-;5.00;100 %;3.00;33 %;5.00;1.00;-;3.00;-;3.00;10.00;90 %;7.00;86 %;3.00;100 %;2.00;100 %;1.00;100 %;1.00;100 %;4.00;100 %;6.00;2.00;1;1.00;-;-;67.00;60.00;90 %;-;-;-;-;0.04;-;-;-;2.14;1.92;0.22;-;-;40.00;-;1.00;9.00;-;-;5.00;1.00;9.00;6.00;3.00;2.00;1.00;1.00;4.00
Роберто Фернандез Урбиета;Динамо Москва;207;102;З ЛЦ;-;-;-;-;-;-;-;1.00;-;1.00;-;-;-;1.00;-;0.14;43.00;88 %;-;-;-;-;7.00;71 %;4.00;100 %;1.00;100 %;2.00;50 %;-;-;2.00;2.00;-;7.00;-;3.00;13.00;62 %;10.00;50 %;3.00;100 %;6.00;50 %;2.00;100 %;-;-;3.00;100 %;10.00;3.00;1;1.00;-;-;74.00;63.00;85 %;0 %;1.00;-;-;-;0.14;-;0.00;2.14;1.92;0.22;0.30;0.10;38.00;-;-;5.00;4.00;1.00;1.00;-;8.00;5.00;3.00;3.00;2.00;-;3.00
Даниил Фомин;Динамо Москва;245;102;З ПЦ;-;1.00;2.00;-;0 %;2.00;-;-;-;1.00;-;-;-;2.00;1.00;0.50;42.00;83 %;-;-;1.00;0 %;4.00;50 %;1.00;100 %;-;-;1.00;100 %;4.00;50 %;3.00;-;-;5.00;1.00;4.00;15.00;73 %;11.00;82 %;4.00;50 %;9.00;67 %;1.00;100 %;-;-;3.00;100 %;3.00;3.00;1;1.00;-;-;69.00;57.00;83 %;50 %;-;-;1.00;0.22;0.25;-;0.00;2.14;1.92;0.22;-;-;35.00;-;-;2.00;1.00;-;1.00;2.00;11.00;9.00;2.00;6.00;1.00;-;3.00
Данил Глебов;Ростов;192;102;ЗП ЛЦ;-;-;-;-;-;1.00;1.00;-;-;-;-;-;1.00;-;-;-;52.00;83 %;1.00;100 %;-;-;15.00;73 %;4.00;75 %;1.00;100 %;6.00;67 %;6.00;50 %;5.00;1.00;-;5.00;2.00;1.00;18.00;39 %;5.00;40 %;13.00;38 %;7.00;14 %;6.00;50 %;4.00;50 %;1.00;0 %;4.00;10.00;1;1.00;-;-;85.00;65.00;76 %;-;-;-;-;0.28;-;-;-;1.92;2.14;-0.22;0.03;0.03;43.00;1.00;-;11.00;3.00;1.00;4.00;3.00;7.00;2.00;5.00;1.00;3.00;2.00;-
Диего Лаксальт;Динамо Москва;222;102;ЗП ПЦ;-;-;-;-;-;-;1.00;1.00;-;-;1.00;-;-;-;-;-;43.00;91 %;-;-;-;-;7.00;71 %;-;-;-;-;6.00;67 %;-;-;2.00;-;2.00;6.00;2.00;-;11.00;55 %;9.00;44 %;2.00;100 %;3.00;100 %;-;-;-;-;4.00;0 %;10.00;8.00;1;1.00;-;-;74.00;63.00;85 %;-;-;-;-;-;-;-;-;2.14;1.92;0.22;-;-;39.00;-;-;5.00;-;-;4.00;-;6.00;4.00;2.00;3.00;-;-;-
Виктор Мелехин;Ростов;199;102;З ПЦ;-;-;-;-;-;-;-;2.00;1.00;2.00;1.00;-;-;-;-;-;54.00;87 %;-;-;-;-;8.00;63 %;5.00;80 %;1.00;100 %;6.00;50 %;-;-;4.00;3.00;-;13.00;1.00;1.00;17.00;82 %;10.00;70 %;7.00;100 %;8.00;75 %;2.00;100 %;-;-;2.00;50 %;10.00;7.00;1;1.00;-;-;91.00;81.00;89 %;-;-;-;-;-;-;-;-;1.92;2.14;-0.22;0.11;0.06;47.00;-;-;5.00;4.00;1.00;3.00;-;14.00;7.00;7.00;6.00;2.00;-;1.00
Алексей Миронов;Ростов;231;102;ЗП ПЦ;-;-;1.00;-;0 %;-;1.00;2.00;-;1.00;-;-;-;4.00;2.00;0.22;56.00;86 %;-;-;1.00;0 %;7.00;86 %;3.00;67 %;-;-;4.00;75 %;8.00;50 %;7.00;1.00;1.00;5.00;3.00;-;7.00;57 %;1.00;0 %;6.00;67 %;1.00;100 %;3.00;67 %;2.00;50 %;1.00;0 %;4.00;11.00;1;1.00;-;-;83.00;69.00;83 %;50 %;1.00;1.00;-;0.66;0.06;-;0.00;1.92;2.14;-0.22;0.02;0.02;48.00;-;-;6.00;2.00;-;3.00;4.00;4.00;-;4.00;1.00;2.00;1.00;-
Дмитрий Скопинцев;Динамо Москва;220;102;ЗЛ;-;-;1.00;-;0 %;-;2.00;-;-;1.00;-;-;-;3.00;1.00;0.20;38.00;87 %;-;-;-;-;6.00;83 %;-;-;-;-;2.00;50 %;1.00;100 %;7.00;1.00;1.00;7.00;-;2.00;16.00;25 %;11.00;27 %;5.00;20 %;6.00;17 %;3.00;33 %;2.00;50 %;3.00;33 %;5.00;9.00;1;1.00;-;-;77.00;57.00;74 %;33 %;1.00;1.00;-;-;0.07;-;0.00;2.14;1.92;0.22;-;-;33.00;-;-;5.00;-;-;1.00;1.00;4.00;3.00;1.00;1.00;1.00;1.00;1.00
Илья Вахания;Ростов;213;102;ЗЛ;-;-;-;-;-;-;-;2.00;-;-;-;-;-;-;-;-;35.00;80 %;-;-;2.00;0 %;5.00;80 %;1.00;0 %;-;-;2.00;100 %;4.00;75 %;5.00;2.00;-;2.00;2.00;1.00;10.00;50 %;4.00;75 %;6.00;33 %;2.00;100 %;4.00;25 %;1.00;0 %;1.00;100 %;5.00;7.00;1;1.00;-;-;59.00;47.00;80 %;-;-;-;-;0.13;-;-;-;1.92;2.14;-0.22;0.04;0.02;28.00;-;-;4.00;-;-;2.00;3.00;5.00;3.00;2.00;2.00;1.00;-;1.00
Хуниор Осмар Игнасио Алонсо Мухика;ФК Краснодар;245;101;З ЛЦ;-;-;-;-;-;-;1.00;-;-;1.00;-;-;-;-;-;-;58.00;91 %;-;-;-;-;9.00;78 %;5.00;60 %;-;-;3.00;67 %;-;-;2.00;1.00;-;12.00;1.00;1.00;16.00;69 %;15.00;67 %;1.00;100 %;9.00;78 %;1.00;100 %;1.00;100 %;2.00;50 %;9.00;12.00;1;1.00;-;-;98.00;88.00;90 %;-;-;-;-;0.25;-;-;-;1.51;0.87;0.64;0.04;0.04;53.00;-;-;7.00;3.00;-;2.00;-;11.00;10.00;1.00;7.00;1.00;1.00;1.00
