Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Магомед Абакаров;Черноморец;207;90;П ЛЦ;0.20;-;0.41;0.20;50 %;0.41;2.4;1.2;-;-;0.20;-;0.20;1.84;0.82;0.18;35.71;77 %;0.61;33 %;0.41;0 %;5.31;54 %;1.2;80 %;-;-;3.27;50 %;1.63;25 %;11.02;1.43;1.84;1.63;0.20;1.43;19.59;35 %;6.53;41 %;13.06;33 %;5.10;32 %;4.69;52 %;2.45;42 %;2.24;45 %;2.4;5.92;9;1.22;1.22;0.61;68.37;44.49;65 %;44 %;0.61;0.41;-;0.10;0.10;0.87;1.15;0.81;1.2;-0.21;-;-;27.35;0.20;-;2.86;0.82;-;1.63;0.41;6.94;2.65;4.29;1.63;2.45;1.2;1.2
Астемир Абазов;Сокол Саратов;198;90;З ЛЦ;-;0.09;0.09;-;0 %;0.34;0.26;0.60;0.34;0.94;-;-;-;0.26;0.09;0.02;47.31;81 %;0.17;0 %;0.77;56 %;10.93;56 %;5.21;44 %;1.71;30 %;6.66;62 %;1.71;55 %;5.46;1.79;0.26;7.9;0.60;2.82;11.36;72 %;7.69;77 %;3.67;63 %;4.10;77 %;1.88;55 %;0.60;43 %;1.54;83 %;8.62;6.23;11;0.94;-;-;77.62;64.81;84 %;33 %;0.09;0.09;-;0.12;0.09;-;0.00;1.9;1.32;-0.23;0.26;0.15;38.08;-;0.43;6.15;2.31;0.51;4.10;0.94;8.20;5.89;2.31;3.16;1.2;0.26;1.28
Нури Абдоков;Кубань Краснодар;205;90;АП Ц;0.24;-;1.32;0.24;18 %;1.56;1.44;3.00;-;-;0.24;-;-;1.80;1.20;0.40;24.51;75 %;1.44;50 %;0.84;43 %;4.45;62 %;0.72;83 %;-;-;2.4;65 %;3.12;50 %;9.85;2.4;1.8;1.20;0.60;2.4;19.11;35 %;4.9;26 %;15.02;38 %;3.12;15 %;5.41;58 %;3.24;56 %;2.40;35 %;0.72;3.60;9;0.72;-;0.36;52.75;32.68;62 %;67 %;0.24;0.36;-;0.30;0.22;1.67;0.60;1.18;1.8;0.09;-;-;18.50;0.72;0.36;2.76;0.60;-;1.32;1.56;6.73;1.8;5.65;0.48;3.12;1.80;0.84
Абдуллахи Самину Квари;Динамо Махачкала;219;90;ЗП ЛЦ;0.14;0.43;0.58;0.14;25 %;0.72;1.16;1.1;-;-;-;-;-;1.59;0.58;0.20;38.41;74 %;0.87;67 %;0.72;20 %;9.86;43 %;1.88;31 %;0.14;0 %;5.65;44 %;1.74;33 %;6.96;1.45;-;5.36;2.32;1.30;17.68;57 %;9.28;52 %;8.41;62 %;4.49;48 %;2.90;90 %;0.58;100 %;4.93;47 %;6.38;7.10;11;0.72;0.14;0.87;72.90;54.35;75 %;36 %;0.43;0.58;-;0.21;0.13;1.39;0.72;1.47;0.75;0.72;0.01;0.03;28.55;0.58;0.14;4.20;0.58;-;2.46;0.58;10.00;4.78;5.22;2.17;2.61;0.58;2.32
Рамазан Абдурагимов;Динамо Махачкала;-;90;Ф ПЦ;-;-;5.62;-;0 %;-;5.62;-;-;-;-;-;-;5.62;5.62;0.51;33.75;33 %;5.62;0 %;5.62;0 %;-;-;-;-;-;-;-;-;11.25;0 %;33.75;-;-;-;-;5.62;16.88;0 %;-;-;16.88;0 %;5.62;0 %;5.62;0 %;-;-;-;-;5.62;5.62;1;-;-;5.62;73.12;33.75;46 %;100 %;-;-;-;-;0.09;-;0.00;0.51;4.67;-4.16;-;-;11.25;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Артём Абрамов;КамАЗ Набережные Челны;213;90;З П;-;-;0.12;-;0 %;0.24;1.59;0.61;-;0.12;0.12;-;-;0.61;0.12;0.02;56.34;77 %;0.12;100 %;3.78;32 %;12.32;51 %;2.7;24 %;0.24;0 %;8.41;52 %;5.61;52 %;7.20;0.98;0.61;6.22;1.22;1.71;16.59;59 %;10.85;62 %;5.73;53 %;5.85;60 %;2.7;65 %;0.85;71 %;3.17;54 %;6.46;7.68;10;0.98;0.37;0.24;90.61;69.51;77 %;20 %;0.24;0.12;0.12;0.03;0.04;-;0.00;0.99;0.79;0.20;0.01;0.03;43.17;0.12;1.22;6.22;0.49;-;4.39;2.93;9.76;6.71;3.5;3.54;1.34;0.61;1.71
Владислав Адаев;Черноморец;196;90;АП Л;-;-;-;-;-;0.46;0.46;0.92;-;0.23;-;-;0.23;0.69;0.23;0.02;28.15;76 %;1.15;20 %;1.85;13 %;3.00;62 %;1.15;40 %;0.23;100 %;1.38;83 %;4.62;40 %;8.54;2.31;1.15;2.31;0.69;1.38;18.00;36 %;5.31;39 %;12.69;35 %;4.15;11 %;3.46;47 %;2.8;33 %;1.62;57 %;2.31;4.15;6;0.92;0.69;0.46;56.08;36.23;65 %;33 %;0.23;0.23;-;0.28;0.02;-;0.00;0.84;1.26;-0.42;0.01;0.01;21.46;0.23;0.23;1.85;0.46;0.23;1.15;1.85;6.46;2.8;4.38;0.46;1.62;0.69;0.92
Владислав Агалаков;Нефтехимик Нижнекамск;-;90;Ф ЛЦ;-;-;1.76;-;0 %;1.76;2.65;1.76;-;-;-;-;0.88;1.76;-;0.26;42.35;75 %;-;-;-;-;7.6;50 %;-;-;-;-;2.65;33 %;2.65;33 %;16.76;2.65;1.76;0.88;0.88;0.88;30.00;24 %;4.41;0 %;25.59;28 %;7.94;33 %;7.6;50 %;5.29;33 %;0.88;0 %;2.65;10.59;3;-;-;2.65;90.00;52.94;59 %;0 %;0.88;-;0.88;0.71;0.15;-;0.00;1.9;0.07;1.1;-;-;31.76;-;-;3.53;-;-;0.88;0.88;7.6;-;7.6;2.65;3.53;1.76;-
Василий Алейников;Шинник;206;90;ЗП ЛЦ;0.17;-;0.50;0.17;33 %;0.50;2.1;1.17;0.34;0.67;0.17;-;0.17;1.1;0.34;0.16;31.17;81 %;0.67;75 %;0.17;0 %;5.36;66 %;1.34;75 %;0.17;100 %;2.51;53 %;1.68;50 %;7.21;2.51;0.84;5.20;1.51;1.84;17.77;57 %;9.22;62 %;8.55;51 %;4.86;52 %;1.68;60 %;0.67;75 %;4.86;62 %;4.19;5.20;7;0.84;0.34;0.34;62.35;47.26;76 %;33 %;0.50;-;0.17;0.14;0.16;0.93;1.8;1.13;1.59;-0.46;0.08;0.06;25.31;0.50;-;3.52;1.1;0.17;1.34;0.84;10.06;5.70;4.36;2.51;1.1;0.50;3.2
Муталип Алибеков;Динамо Махачкала;216;90;З Ц;0.09;-;0.17;0.09;50 %;-;0.34;0.77;0.09;0.60;0.09;-;-;0.43;0.17;0.07;34.92;83 %;-;-;-;-;8.37;66 %;3.16;59 %;0.26;67 %;3.42;65 %;0.09;0 %;3.16;0.94;0.17;6.6;0.51;0.43;11.53;76 %;9.73;76 %;1.79;76 %;5.4;71 %;0.34;50 %;-;-;1.71;85 %;6.32;4.70;11;0.94;-;-;58.92;49.70;84 %;40 %;0.26;-;-;-;0.16;0.78;1.28;1.33;0.69;0.64;0.07;0.09;28.86;-;-;5.55;1.88;0.17;2.22;-;8.80;7.43;1.37;3.59;0.17;-;1.45
Саид Алиев;СКА-Хабаровск;189;90;Ф Ц;0.77;-;1.93;0.77;40 %;1.73;0.58;3.28;0.19;0.19;0.19;-;0.19;3.8;1.73;0.65;7.13;54 %;0.19;100 %;0.39;0 %;1.35;43 %;-;-;-;-;0.77;50 %;0.58;67 %;10.60;1.73;1.35;0.39;0.19;2.51;22.74;31 %;2.70;21 %;20.04;32 %;5.40;29 %;6.36;48 %;4.63;46 %;1.16;17 %;0.19;2.51;10;0.58;0.19;1.35;39.70;17.92;45 %;56 %;1.16;0.19;-;0.08;0.21;0.84;1.18;0.98;1.58;-0.60;-;-;3.85;0.19;-;0.58;-;-;0.39;0.39;6.94;0.58;6.36;1.54;3.8;2.12;0.19
