Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные
Арсен Адамов;Оренбург;214;90;З П;-;-;0.50;0.17;33 %;-;0.33;2.00;0.50;1.16;-;-;-;0.50;0.17;0.05;50.24;88 %;0.17;0 %;2.33;14 %;7.99;69 %;2.33;50 %;0.50;33 %;4.66;71 %;2.33;21 %;4.82;1.50;0.33;5.32;1.66;4.16;15.14;63 %;7.32;64 %;7.82;62 %;2.83;53 %;5.16;68 %;1.50;44 %;3.16;68 %;4.16;4.99;8;1.00;0.33;0.33;80.02;67.54;84 %;33 %;-;0.17;0.17;0.06;0.10;-;0.00;1.2;1.39;-0.38;0.18;0.19;44.09;-;0.33;5.49;1.16;0.17;3.33;0.50;9.48;4.66;4.82;1.50;3.49;0.67;2.16
Кики;Урал Екатеринбург;221;90;ЗЛ;-;-;0.13;-;0 %;0.53;1.32;1.6;0.26;0.40;-;-;-;0.26;-;0.01;39.44;78 %;0.53;75 %;2.38;44 %;9.13;57 %;2.78;57 %;0.66;40 %;5.43;54 %;5.56;60 %;4.63;0.79;0.13;3.84;1.32;0.53;9.00;65 %;6.22;62 %;2.78;71 %;2.78;62 %;0.53;50 %;0.40;33 %;3.4;61 %;4.24;6.75;8;0.93;0.26;0.13;60.88;48.71;80 %;0 %;-;0.13;0.13;0.10;0.04;-;0.00;0.83;1.20;-0.38;0.02;0.16;30.84;0.40;1.6;5.16;1.59;0.26;2.91;3.31;5.82;3.84;1.99;1.72;0.26;0.13;1.85
Гамид Агаларов;ФК Ахмат;189;90;Ф Ц;1.27;-;2.54;1.27;50 %;-;1.27;2.54;-;-;-;-;1.27;2.54;2.54;1.10;6.34;40 %;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7.61;-;-;-;-;-;10.14;0 %;-;-;10.14;0 %;3.80;0 %;1.27;0 %;-;-;-;-;-;3.80;3;-;-;3.80;22.82;8.87;39 %;100 %;-;-;-;-;0.44;0.87;1.15;1.27;0.80;0.47;-;-;2.54;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Илья Агапов;ЦСКА Москва;225;90;З ЛЦ;-;-;-;-;-;0.46;0.92;-;-;-;-;-;-;0.92;0.46;0.17;42.70;86 %;0.46;100 %;0.92;0 %;7.81;82 %;-;-;-;-;1.84;75 %;2.30;20 %;4.59;0.46;0.46;6.89;0.92;1.84;12.40;63 %;8.27;67 %;4.13;56 %;4.59;70 %;1.38;67 %;0.92;50 %;4.13;67 %;5.97;5.97;3;0.46;-;0.92;70.26;58.78;84 %;50 %;0.46;-;-;0.19;0.18;-;0.00;1.82;1.73;0.09;0.11;0.06;36.73;0.46;-;6.43;-;-;1.38;0.46;7.81;5.51;2.30;3.21;0.92;0.46;2.76
Роман Акбашев;Ростов;189;90;П ЛЦ;-;-;-;-;-;0.37;1.46;-;-;-;0.73;-;-;1.10;1.10;0.05;35.85;82 %;1.10;33 %;2.20;33 %;6.22;65 %;-;-;-;-;1.83;60 %;5.49;60 %;3.66;1.10;-;3.66;1.46;0.37;11.71;25 %;6.22;18 %;5.49;33 %;6.22;29 %;1.10;0 %;0.37;0 %;1.10;33 %;3.66;5.85;5;0.73;0.73;1.10;58.90;43.54;74 %;100 %;-;-;-;0.29;0.05;-;0.00;1.16;1.45;-0.29;0.05;0.04;29.27;0.37;0.73;4.2;-;-;1.10;3.29;2.93;1.10;1.83;1.83;-;-;0.37
Ильзат Ахметов;ФК Краснодар;230;90;АП П;0.29;-;1.15;0.29;25 %;0.57;0.57;0.86;-;-;0.29;-;-;1.15;0.86;0.32;38.41;87 %;1.15;50 %;0.86;67 %;7.17;80 %;0.57;100 %;-;-;3.15;64 %;1.72;50 %;6.31;1.72;0.57;2.87;0.86;2.87;17.48;46 %;6.2;43 %;11.46;48 %;0.86;33 %;6.2;57 %;3.73;62 %;3.15;45 %;2.29;6.59;7;0.86;0.86;1.15;69.08;53.60;78 %;75 %;-;0.29;-;0.30;0.28;1.13;0.88;1.67;1.4;0.63;-;-;33.25;0.57;0.57;5.73;0.57;-;2.1;0.86;8.3;2.58;5.45;0.29;3.44;2.29;1.43
Виктор Александров;Пари Нижний Новгород;213;90;З ЛЦ;-;-;0.18;-;0 %;0.18;1.94;0.18;-;0.18;0.53;0.35;-;0.35;-;0.04;22.54;80 %;-;-;0.18;0 %;6.16;77 %;1.76;70 %;0.35;0 %;3.17;78 %;0.53;33 %;3.87;1.94;0.18;5.46;0.88;0.88;10.74;69 %;9.16;71 %;1.59;56 %;4.40;84 %;0.53;0 %;0.35;0 %;3.17;61 %;6.52;3.87;6;1.6;-;-;46.32;37.87;82 %;0 %;0.35;-;-;-;0.11;-;0.00;1.10;0.96;0.14;0.12;0.10;17.96;-;-;4.76;1.23;-;2.47;0.18;7.40;6.52;0.88;3.70;-;-;1.94
Нуралы Алип;Зенит;230;90;З ЛЦ;-;-;0.16;-;0 %;-;1.47;0.49;0.33;0.49;0.49;-;-;0.49;-;0.04;55.86;90 %;-;-;-;-;7.35;60 %;1.96;50 %;0.33;50 %;3.10;58 %;0.16;0 %;4.8;1.80;0.49;5.88;0.98;0.65;13.88;64 %;10.62;66 %;3.27;55 %;6.53;60 %;0.82;100 %;-;-;3.27;85 %;4.8;4.41;8;0.82;0.33;0.49;80.20;68.77;86 %;0 %;0.16;0.33;-;-;0.08;-;0.00;1.36;0.85;0.51;0.03;0.08;50.47;-;-;4.41;0.98;0.16;1.80;-;8.82;7.2;1.80;3.92;0.82;-;2.78
Хуниор Осмар Игнасио Алонсо Мухика;ФК Краснодар;229;90;З ЛЦ;-;-;0.20;-;0 %;0.10;0.60;0.40;0.10;0.71;-;-;-;0.20;0.10;0.02;64.70;89 %;0.20;0 %;0.40;25 %;15.02;79 %;3.73;70 %;0.50;60 %;7.26;67 %;1.41;43 %;3.12;0.71;0.30;6.5;0.60;3.12;10.78;66 %;8.67;67 %;2.12;62 %;5.14;73 %;0.60;50 %;0.40;25 %;2.52;60 %;5.95;5.85;9;0.91;-;-;91.31;80.12;88 %;50 %;0.10;-;-;0.04;0.12;-;0.00;1.15;1.00;0.14;0.04;0.06;57.55;-;0.10;11.79;2.62;0.30;4.84;0.60;7.16;5.85;1.31;3.73;0.30;0.10;1.51
Ильнур Альшин;Факел Воронеж;209;90;ЗП Л;-;0.11;0.54;-;0 %;0.65;1.9;1.31;0.22;0.44;-;-;0.11;1.42;0.54;0.13;29.96;61 %;0.76;57 %;2.62;21 %;8.39;45 %;2.18;40 %;0.11;100 %;4.58;43 %;4.79;32 %;7.95;1.53;0.54;2.72;0.76;0.98;16.56;52 %;8.61;52 %;7.95;52 %;3.81;57 %;2.94;52 %;2.7;58 %;4.58;55 %;3.92;6.65;9;0.98;0.33;-;61.02;40.10;66 %;38 %;0.22;0.65;-;0.17;0.09;-;0.00;0.98;1.21;-0.23;0.04;0.10;18.41;0.44;0.54;3.81;0.87;0.11;1.96;1.53;8.61;4.47;4.14;2.18;1.53;1.20;2.51
