Команда;Голы;Голевые моменты;Голевые моменты удачные. %;Фолы;Желтые карточки;Красные карточки;Тактика (начальная);Офсайды;Угловые;Удары;Удары точные;Удары от ворот;Удары от ворот точные;Удары от ворот точные. %;Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Овладевания после потерь в течение 10 сек;Овладевания после потерь в течение 10 сек на чужой половине поля;Овладевания после потерь в течение 5 сек;Овладевания после потерь в течение 5 сек на чужой половине поля;Среднее расстояние до ворот при овладеваниях. м.;Среднее расстояние до ворот при потерях. м.;Ведения мяча;Командный прессинг;Командный прессинг удачный. %;Владение мячом. %;Входы на половину соперника;Входы в последнюю четверть;Входы в штрафную соперника;Удары от ворот короткие (от 0 до 15 м.);Удары от ворот короткие (от 0 до 15 м.) точные;Удары от ворот короткие (от 0 до 15 м.) точные. %;Удары от ворот средние (от 15 до 40 м.);Удары от ворот средние (от 15 до 40 м.) точные;Удары от ворот средние (от 15 до 40 м.) точные. %;Удары от ворот длинные (от 40 м.);Удары от ворот длинные (от 40 м.) точные;Удары от ворот длинные (от 40 м.) точные. %;Голевые моменты удачные;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xG (ожидаемые голы);OxG (ожидаемые голы соперника);NxG (разница xG - OxG);xPoints (ожидаемые очки);xGC (конверсия xG);xGPS (xG на удар);OxGPS (xG на удар соперника);xGPG (xG на гол);OxGPG (xG на гол соперника);Передачи точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи в штрафную точные;Передачи с аутов;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные;Перехваты;Подборы;Командный прессинг удачный;PPDA;Розыгрыши мяча;Розыгрыши мяча без прессинга;Высокий прессинг;Высокий прессинг удачный;Высокий прессинг удачный. %;Низкий прессинг;Низкий прессинг удачный;Низкий прессинг удачный. %;Владение мячом. мин.;Владения мячом. количество;Владение мячом. средняя длительность. мин.;Атаки левым флангом;Атаки левым флангом с ударами;Атаки левым флангом с ударами. %;Атаки через центр;Атаки через центр с ударами;Атаки через центр с ударами. %;Атаки правым флангом;Атаки правым флангом с ударами;Атаки правым флангом с ударами. %;Атаки позиционные;Атаки позиционные с ударами;Атаки позиционные с ударами. %;Атаки быстрые;Атаки быстрые с ударами;Атаки быстрые с ударами. %;Атаки со стандартов;Атаки со стандартов с ударами;Атаки со стандартов с ударами. %;Атаки со штрафных;Атаки со штрафных с ударами;Атаки со штрафных с ударами. %;Атаки с угловых;Атаки с угловых с ударами;Атаки с угловых с ударами. %;Атаки с аутов;Атаки с аутов с ударами;Атаки с аутов с ударами. %;Удары со штрафных;Голы забитые со штрафных;Удары со штрафных с голами. %;Пенальти;Пенальти реализованные;Пенальти реализованные. %
Родина Москва;1.70;5.40;31 %;14.70;1.80;-;4-4-2 classic;1.60;4.30;13.80;5.10;7.50;6.60;88 %;436.40;80 %;5.50;2.60;47 %;12.90;33 %;96.50;68 %;33.10;62 %;9.90;54 %;30.70;52 %;154.90;51 %;79.20;58 %;75.70;43 %;48.60;52 %;16.80;61 %;8.20;54 %;30.90;58 %;70.40;17.20;7.60;50.10;9.40;11.00;3.40;1.20;0.20;75.62;40.11;17.40;15.70;45 %;52 %;58.40;39.50;17.30;2.70;2.70;100 %;1.20;1.20;100 %;3.60;2.70;75 %;1.70;752.80;569.70;76 %;37 %;5.20;3.20;0.30;1.92;1.9;0.83;2.00;0.88;0.14;0.11;1.13;0.99;350.80;4.20;65.20;20.50;5.30;16.10;18.80;78.90;46.20;32.70;25.30;10.30;4.40;17.80;49.00;63.40;7.00;4.36;29.60;11.70;8.60;4.00;47 %;7.10;3.00;42 %;25:29;102.10;0:15;25.70;3.70;14 %;18.90;3.60;19 %;27.70;2.60;9 %;60.00;6.90;12 %;12.30;3.30;27 %;8.30;2.30;28 %;2.20;0.70;32 %;4.30;1.00;23 %;1.40;0.20;14 %;0.50;0.10;20 %;0.40;0.30;75 %
ФК Акрон Тольятти;1.50;5.60;27 %;10.50;1.60;0.10;4-3-3 down;2.00;4.40;11.90;5.20;5.00;4.90;98 %;498.90;83 %;5.80;3.00;52 %;16.00;29 %;99.40;65 %;36.10;68 %;8.40;57 %;30.30;46 %;136.00;51 %;68.40;56 %;67.60;45 %;51.00;49 %;14.90;67 %;7.00;64 %;22.00;61 %;69.50;19.10;6.70;48.50;8.40;10.90;3.10;1.80;0.30;74.99;42.50;20.40;14.10;45 %;57 %;55.30;36.20;14.20;3.90;3.90;100 %;0.10;0.10;100 %;1.00;0.90;90 %;1.50;793.70;626.80;79 %;44 %;4.70;1.90;0.10;1.34;1.14;0.20;1.45;1.12;0.11;0.12;0.89;1.63;415.70;4.70;64.90;24.40;4.80;14.00;17.60;69.00;38.50;30.50;24.90;10.00;4.50;13.40;44.30;65.10;6.30;4.84;42.50;18.50;6.20;3.30;53 %;7.90;3.00;38 %;30:57;100.60;0:18;22.30;2.40;11 %;17.80;2.90;16 %;29.40;3.50;12 %;60.30;7.40;12 %;9.20;1.40;15 %;7.50;2.70;36 %;1.90;0.80;42 %;4.40;1.50;34 %;0.90;0.10;11 %;0.20;0.10;50 %;0.30;0.20;67 %
Тюмень;1.50;4.00;38 %;14.60;2.30;0.20;4-4-2 classic;1.80;4.30;8.10;2.30;4.90;3.50;71 %;435.40;79 %;4.90;2.00;41 %;14.50;26 %;86.80;59 %;34.20;56 %;13.30;53 %;29.40;47 %;167.90;48 %;88.20;55 %;79.70;40 %;56.10;53 %;18.50;51 %;7.80;40 %;29.80;59 %;78.60;18.40;9.20;52.90;9.90;9.90;3.00;1.50;0.10;74.44;41.64;17.60;20.00;51 %;50 %;57.60;37.70;14.50;0.70;0.70;100 %;1.10;1.10;100 %;3.10;1.70;55 %;1.50;770.90;569.70;74 %;28 %;3.20;2.50;0.10;1.39;1.60;-0.21;1.16;1.1;0.17;0.15;0.99;1.45;342.90;3.80;50.90;19.00;7.10;13.70;24.60;80.50;48.30;32.20;29.70;9.40;3.10;17.60;54.30;65.20;10.20;4.61;29.70;11.40;9.70;4.70;48 %;10.30;5.50;53 %;25:03;107.80;0:14;25.20;1.80;7 %;19.10;1.60;8 %;27.40;1.40;5 %;60.40;3.90;6 %;11.30;0.90;8 %;10.20;2.80;27 %;2.80;0.60;21 %;4.30;1.40;33 %;2.70;0.40;15 %;0.10;0.10;100 %;0.40;0.30;75 %
Енисей Красноярск;1.30;5.20;25 %;11.40;2.00;0.10;4-4-2 dmnd;1.60;5.00;12.50;4.10;7.30;6.50;89 %;488.90;84 %;4.70;2.70;57 %;7.80;36 %;105.60;70 %;34.50;64 %;10.50;61 %;29.00;57 %;159.50;49 %;75.80;56 %;83.70;43 %;47.90;47 %;23.50;62 %;12.90;50 %;27.50;56 %;70.80;16.00;8.40;51.20;9.20;10.30;3.40;1.30;0.10;75.56;40.77;16.10;15.50;43 %;53 %;58.10;36.50;16.00;1.90;1.90;100 %;1.50;1.50;100 %;3.90;3.10;79 %;1.30;806.70;628.20;78 %;33 %;4.40;3.70;0.30;1.29;1.29;-0.01;1.9;1.1;0.10;0.10;0.99;1.8;412.20;2.80;74.00;22.20;6.40;16.50;18.10;78.90;42.80;36.10;22.30;14.50;6.40;15.50;49.40;63.30;6.60;4.54;35.00;13.80;8.60;3.90;45 %;6.90;2.70;39 %;27:13;104.60;0:16;29.50;2.90;10 %;22.80;3.20;14 %;23.60;2.10;9 %;62.30;6.30;10 %;13.60;2.10;15 %;8.30;3.30;40 %;2.40;1.30;54 %;5.00;1.70;34 %;0.90;0.30;33 %;0.80;0.10;13 %;-;-;-
Алания Владикавказ;1.20;5.20;23 %;12.00;1.80;0.10;4-3-3 down;1.20;5.50;13.50;4.90;5.60;5.40;96 %;444.70;81 %;5.30;2.20;42 %;11.80;27 %;105.20;64 %;38.60;60 %;12.00;57 %;32.80;46 %;148.30;52 %;75.70;58 %;72.60;46 %;43.80;53 %;23.80;60 %;13.30;53 %;26.30;60 %;69.40;11.00;7.20;52.00;11.60;9.50;3.70;1.00;0.10;73.51;37.08;17.20;17.50;46 %;53 %;64.80;38.80;16.60;3.50;3.50;100 %;1.00;1.00;100 %;1.10;0.90;82 %;1.20;751.80;575.80;77 %;36 %;4.30;4.00;0.30;1.45;1.7;0.38;1.58;0.76;0.11;0.12;1.32;1.34;358.40;3.20;67.30;23.20;6.90;15.00;19.00;77.20;43.90;33.30;23.00;14.30;7.00;15.70;44.80;68.40;8.00;4.87;30.20;14.70;10.20;4.70;46 %;7.30;3.30;45 %;25:52;104.80;0:15;25.90;2.80;11 %;23.50;4.10;17 %;27.50;2.60;9 %;61.40;6.40;10 %;15.50;3.20;21 %;9.50;3.50;37 %;2.40;0.70;29 %;5.50;2.20;40 %;1.20;0.20;17 %;0.60;-;0 %;0.40;0.30;75 %
СКА-Хабаровск;1.20;4.60;26 %;10.10;2.30;-;4-3-3 down;1.20;5.80;12.30;4.80;7.10;6.80;96 %;448.70;84 %;4.80;1.90;40 %;11.40;29 %;91.90;68 %;33.30;66 %;8.60;58 %;29.40;50 %;152.50;50 %;67.30;57 %;85.20;45 %;45.30;51 %;30.80;59 %;17.40;56 %;23.70;52 %;65.80;12.60;6.40;44.30;8.60;8.80;2.70;0.50;0.10;74.90;37.95;24.60;17.90;48 %;52 %;58.00;39.60;16.90;3.00;3.00;100 %;0.90;0.90;100 %;3.20;2.90;91 %;1.20;757.60;589.30;78 %;39 %;4.20;3.10;0.20;1.45;1.45;0.00;1.16;0.76;0.12;0.13;1.32;1.45;375.30;3.30;62.50;22.00;5.00;14.80;21.80;76.80;38.60;38.20;23.30;18.30;9.70;12.30;50.60;52.30;8.60;4.87;32.70;14.90;10.20;5.20;51 %;7.70;3.40;44 %;27:03;99.20;0:16;27.30;3.10;11 %;21.00;3.00;14 %;25.90;2.20;8 %;62.90;6.40;10 %;11.30;1.90;17 %;10.80;3.30;31 %;3.40;1.60;47 %;5.80;1.40;24 %;1.40;0.10;7 %;0.40;-;0 %;0.20;0.20;100 %
Сокол Саратов;1.20;3.30;36 %;10.60;1.70;-;4-4-2 classic;1.60;3.60;11.00;4.00;6.10;5.80;95 %;392.20;79 %;3.70;1.90;51 %;10.70;24 %;83.20;59 %;30.40;56 %;8.70;53 %;23.00;47 %;162.80;52 %;82.20;60 %;80.60;44 %;54.20;53 %;21.10;57 %;8.50;49 %;26.30;60 %;71.80;18.40;7.70;50.70;7.40;8.30;2.30;1.00;0.10;77.67;43.33;17.70;17.60;43 %;46 %;51.50;31.60;12.50;1.70;1.70;100 %;0.70;0.70;100 %;3.70;3.40;92 %;1.20;720.60;540.60;75 %;36 %;3.90;2.80;0.30;1.28;1.60;-0.32;0.96;0.94;0.12;0.14;1.6;1.14;310.60;2.60;49.00;17.00;4.60;10.90;21.30;84.20;49.10;35.10;28.80;12.10;4.20;15.90;59.40;57.10;7.60;4.2;31.10;12.90;7.10;2.90;41 %;10.50;4.70;45 %;22:41;104.00;0:13;22.30;2.10;9 %;18.00;2.40;13 %;29.10;2.80;10 %;54.50;4.80;9 %;14.90;2.50;17 %;7.70;3.10;40 %;2.80;1.00;36 %;3.70;1.80;49 %;1.10;0.20;18 %;0.40;-;0 %;0.10;0.10;100 %
Черноморец;1.10;3.80;29 %;8.80;1.20;-;4-3-3 down;0.80;4.50;9.80;3.70;8.00;7.40;93 %;449.80;83 %;4.20;1.80;43 %;8.90;19 %;91.20;70 %;38.90;70 %;14.40;68 %;24.60;45 %;150.00;47 %;68.90;53 %;81.10;41 %;50.50;41 %;24.30;61 %;11.20;49 %;24.20;60 %;68.60;12.90;9.00;44.20;7.70;8.90;3.10;1.30;0.20;77.78;40.07;19.10;13.50;37 %;50 %;56.70;35.90;13.70;1.80;1.80;100 %;0.60;0.60;100 %;5.60;5.00;89 %;1.10;758.40;584.10;77 %;38 %;3.30;2.50;0.30;1.20;1.65;-0.46;0.73;0.92;0.12;0.12;1.9;1.84;375.50;1.70;63.90;27.30;9.80;11.10;18.50;70.20;36.70;33.50;20.60;14.80;5.50;14.40;47.80;60.30;5.00;4.81;34.80;15.00;7.40;3.30;45 %;6.10;1.70;28 %;26:48;98.90;0:16;20.50;2.20;11 %;23.30;2.70;12 %;29.00;2.20;8 %;62.40;5.50;9 %;10.40;1.60;15 %;8.30;2.20;27 %;2.20;0.70;32 %;4.50;1.00;22 %;1.40;0.30;21 %;0.20;-;0 %;0.20;0.20;100 %
Динамо Махачкала;1.10;5.40;20 %;10.70;2.00;-;3-5-2;0.80;3.90;10.90;3.90;7.50;6.00;80 %;416.90;77 %;5.70;3.10;54 %;10.80;31 %;95.30;61 %;36.60;63 %;8.60;62 %;29.80;50 %;178.30;52 %;86.70;60 %;91.60;44 %;60.90;50 %;24.00;53 %;13.50;50 %;31.00;60 %;73.20;14.80;5.70;48.50;9.50;9.20;3.40;1.30;0.30;74.14;39.61;13.50;17.80;46 %;50 %;58.40;36.10;15.70;0.50;0.50;100 %;0.50;0.50;100 %;6.50;5.00;77 %;1.10;756.20;557.30;74 %;36 %;4.50;2.40;0.10;1.48;0.80;0.68;1.76;0.74;0.14;0.12;1.34;1.99;321.70;3.30;58.00;22.90;5.30;14.90;22.10;92.20;51.70;40.50;30.50;12.80;6.70;18.50;55.90;65.40;8.10;3.99;29.20;9.70;8.10;3.90;48 %;9.70;4.20;43 %;23:44;104.50;0:14;24.50;2.40;10 %;18.30;2.50;14 %;28.00;1.50;5 %;59.50;4.50;8 %;11.30;1.90;17 %;12.40;3.90;31 %;3.50;1.30;37 %;3.90;1.20;31 %;4.90;1.30;27 %;0.40;0.10;25 %;0.10;-;0 %
Химки;1.10;4.30;26 %;13.30;1.40;0.10;3-4-3;2.40;5.00;12.30;4.60;5.90;4.80;81 %;397.50;77 %;5.50;2.20;40 %;9.70;27 %;99.10;60 %;36.80;63 %;9.30;60 %;31.80;45 %;188.20;50 %;101.50;56 %;86.70;43 %;62.30;49 %;17.00;55 %;10.60;49 %;34.50;56 %;75.70;15.40;8.60;51.70;10.90;9.60;3.70;1.00;0.20;73.67;39.12;12.50;16.80;54 %;50 %;63.10;40.50;14.20;0.10;0.10;100 %;1.30;1.30;100 %;4.50;3.40;76 %;1.10;757.10;549.00;73 %;37 %;3.90;3.40;0.40;1.33;1.47;-0.14;1.17;0.75;0.11;0.14;1.33;1.47;304.10;2.60;59.40;23.30;5.60;14.40;24.60;94.10;56.60;37.50;30.60;9.30;5.20;19.30;51.20;74.60;9.10;3.55;25.00;11.10;7.50;4.10;55 %;9.30;5.00;54 %;23:30;110.00;0:13;26.00;2.00;8 %;25.80;4.40;17 %;28.20;2.30;8 %;64.50;6.10;9 %;15.50;2.60;17 %;9.20;3.00;33 %;2.80;1.10;39 %;4.90;1.40;29 %;1.20;0.20;17 %;0.50;0.10;20 %;0.30;0.30;100 %
