Команда;Index;Голы;Голевые моменты;Голевые моменты удачные. %;Фолы;Желтые карточки;Красные карточки;Тактика (начальная);Офсайды;Угловые;Удары;Удары точные;Удары от ворот;Удары от ворот точные;Удары от ворот точные. %;Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Овладевания после потерь в течение 10 сек;Овладевания после потерь в течение 10 сек на чужой половине поля;Овладевания после потерь в течение 5 сек;Овладевания после потерь в течение 5 сек на чужой половине поля;Среднее расстояние до ворот при овладеваниях. м.;Среднее расстояние до ворот при потерях. м.;Ведения мяча;Командный прессинг;Командный прессинг удачный. %;Владение мячом. %;Входы на половину соперника;Входы в последнюю четверть;Входы в штрафную соперника;Удары от ворот короткие (от 0 до 15 м.);Удары от ворот короткие (от 0 до 15 м.) точные;Удары от ворот короткие (от 0 до 15 м.) точные. %;Удары от ворот средние (от 15 до 40 м.);Удары от ворот средние (от 15 до 40 м.) точные;Удары от ворот средние (от 15 до 40 м.) точные. %;Удары от ворот длинные (от 40 м.);Удары от ворот длинные (от 40 м.) точные;Удары от ворот длинные (от 40 м.) точные. %;Голевые моменты удачные;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xG (ожидаемые голы);OxG (ожидаемые голы соперника);NxG (разница xG - OxG);xPoints (ожидаемые очки);xGC (конверсия xG);xGPS (xG на удар);OxGPS (xG на удар соперника);xGPG (xG на гол);OxGPG (xG на гол соперника);Передачи точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи в штрафную точные;Передачи с аутов;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные;Перехваты;Подборы;Командный прессинг удачный;PPDA;Розыгрыши мяча;Розыгрыши мяча без прессинга;Высокий прессинг;Высокий прессинг удачный;Высокий прессинг удачный. %;Низкий прессинг;Низкий прессинг удачный;Низкий прессинг удачный. %;Владение мячом. мин.;Владения мячом. количество;Владение мячом. средняя длительность. мин.;Атаки левым флангом;Атаки левым флангом с ударами;Атаки левым флангом с ударами. %;Атаки через центр;Атаки через центр с ударами;Атаки через центр с ударами. %;Атаки правым флангом;Атаки правым флангом с ударами;Атаки правым флангом с ударами. %;Атаки позиционные;Атаки позиционные с ударами;Атаки позиционные с ударами. %;Атаки быстрые;Атаки быстрые с ударами;Атаки быстрые с ударами. %;Атаки со стандартов;Атаки со стандартов с ударами;Атаки со стандартов с ударами. %;Атаки со штрафных;Атаки со штрафных с ударами;Атаки со штрафных с ударами. %;Атаки с угловых;Атаки с угловых с ударами;Атаки с угловых с ударами. %;Атаки с аутов;Атаки с аутов с ударами;Атаки с аутов с ударами. %;Удары со штрафных;Голы забитые со штрафных;Удары со штрафных с голами. %;Пенальти;Пенальти реализованные;Пенальти реализованные. %
Крылья Советов;220;2.50;6.10;41 %;10.10;2.00;0.20;4-4-2 classic;1.90;4.80;11.50;5.80;5.30;4.80;91 %;392.30;82 %;6.20;2.70;44 %;9.50;33 %;75.60;68 %;27.70;62 %;9.30;62 %;23.60;50 %;154.90;50 %;78.20;55 %;76.70;46 %;41.80;48 %;25.90;63 %;11.90;62 %;29.60;54 %;63.90;16.30;6.20;48.60;8.20;8.20;2.90;1.40;0.20;77.14;41.33;21.70;13.90;41 %;46 %;51.70;33.30;15.80;1.20;1.20;100 %;0.60;0.60;100 %;3.50;3.00;86 %;2.50;700.30;535.20;76 %;50 %;3.60;2.10;-;1.84;1.43;0.41;1.47;1.36;0.16;0.13;0.74;1.19;321.20;3.10;51.40;17.10;5.80;11.90;12.70;77.90;42.80;35.10;20.10;16.20;7.40;16.10;49.30;55.30;5.70;5.8;25.40;9.30;7.80;3.40;44 %;6.10;2.30;38 %;22:31;96.60;0:14;20.30;1.70;8 %;15.80;2.20;14 %;28.80;4.40;15 %;49.80;4.90;10 %;15.10;3.40;23 %;8.50;3.00;35 %;3.30;0.80;24 %;4.80;1.80;38 %;-;-;-;0.50;-;0 %;0.40;0.30;75 %
ЦСКА Москва;224;2.00;6.10;33 %;11.70;1.60;0.20;3-4-3;1.50;4.40;11.60;4.90;5.00;4.70;94 %;451.60;82 %;7.30;3.60;49 %;14.10;26 %;96.00;70 %;33.80;68 %;11.00;76 %;33.00;52 %;156.10;50 %;78.20;52 %;77.90;48 %;48.10;46 %;22.80;57 %;9.80;54 %;31.10;52 %;69.10;14.70;6.30;49.90;11.10;10.00;3.60;1.40;0.10;73.50;38.40;15.70;19.10;49 %;48 %;60.40;40.00;16.70;1.50;1.50;100 %;1.10;1.10;100 %;2.40;2.10;88 %;2.00;761.40;584.20;77 %;42 %;3.80;2.70;0.20;1.80;1.76;0.04;1.29;1.6;0.16;0.15;0.95;1.17;370.60;3.70;66.80;23.00;8.40;17.10;14.80;78.00;40.90;37.10;21.90;12.90;5.30;16.10;50.50;61.10;9.40;5.61;25.30;10.50;10.20;5.80;57 %;8.90;3.60;40 %;24:53;100.00;0:15;24.60;2.10;9 %;23.20;3.20;14 %;24.80;2.40;10 %;60.90;6.00;10 %;11.70;1.70;15 %;9.30;3.50;38 %;3.90;1.30;33 %;4.40;1.70;39 %;0.50;-;0 %;0.60;-;0 %;0.50;0.50;100 %
Зенит;235;2.00;6.60;30 %;9.10;2.00;0.10;3-5-2*;2.00;7.00;12.80;5.10;3.80;3.50;92 %;629.10;88 %;8.30;4.00;48 %;17.30;36 %;107.80;76 %;24.10;71 %;3.30;70 %;35.70;56 %;144.50;51 %;72.00;55 %;72.50;47 %;39.60;49 %;24.50;65 %;10.10;56 %;27.00;64 %;62.90;15.70;8.30;47.60;11.10;9.50;4.40;0.90;-;72.59;38.94;19.40;16.90;53 %;61 %;63.30;46.30;20.20;1.70;1.70;100 %;0.80;0.80;100 %;1.30;1.00;77 %;2.00;919.80;753.70;82 %;40 %;4.40;2.90;0.40;1.55;1.10;0.45;1.48;1.23;0.12;0.14;0.82;1.00;553.40;6.20;81.50;17.10;2.30;20.00;14.70;74.30;39.90;34.40;19.50;16.00;5.70;17.30;39.10;58.60;9.00;5.5;36.90;14.70;8.70;5.80;67 %;8.20;3.20;39 %;32:41;100.60;0:19;30.00;4.30;14 %;17.90;3.00;17 %;28.30;2.50;9 %;66.10;7.50;11 %;10.10;2.30;23 %;9.50;2.40;25 %;2.00;0.70;35 %;7.00;1.70;24 %;0.50;-;0 %;0.20;-;0 %;-;-;-
Динамо Москва;218;1.70;6.20;27 %;11.20;1.80;0.10;4-2-3-1;1.80;5.00;13.30;4.90;4.90;4.30;88 %;441.20;82 %;8.30;3.50;42 %;11.20;21 %;88.40;66 %;23.70;65 %;5.60;50 %;28.20;44 %;148.70;50 %;79.80;55 %;68.90;44 %;33.40;51 %;29.00;56 %;15.30;50 %;36.10;52 %;66.90;15.30;7.30;47.30;7.60;8.10;2.30;0.90;0.20;77.65;39.91;22.80;15.80;38 %;49 %;59.20;38.50;16.40;1.90;1.90;100 %;1.20;1.20;100 %;1.80;1.20;67 %;1.70;754.60;580.10;77 %;37 %;4.60;3.30;0.50;1.65;1.69;-0.04;1.25;1.3;0.12;0.13;0.97;1.30;362.20;2.40;58.60;15.40;2.80;12.50;15.50;74.00;43.60;30.40;16.90;16.10;7.60;18.60;48.80;59.80;6.00;5.63;26.00;10.00;8.20;2.90;35 %;7.60;3.10;41 %;25:24;97.20;0:16;23.00;2.50;11 %;22.60;4.60;20 %;25.40;3.00;12 %;56.00;6.60;12 %;15.00;3.50;23 %;7.60;2.30;30 %;2.20;1.00;45 %;5.00;1.10;22 %;0.20;-;0 %;0.20;-;0 %;0.20;0.20;100 %
ФК Краснодар;231;1.60;7.00;23 %;10.70;1.60;-;4-3-3 down;2.00;6.10;12.20;4.70;6.80;6.00;88 %;496.10;85 %;7.00;3.30;47 %;10.80;29 %;101.80;73 %;33.90;67 %;7.60;55 %;26.70;40 %;147.90;49 %;71.30;53 %;76.60;45 %;41.80;48 %;24.50;57 %;14.20;51 %;26.40;57 %;66.00;15.00;8.40;44.60;10.90;8.40;3.00;1.30;0.30;73.22;40.58;24.10;15.60;49 %;57 %;59.40;40.20;15.60;2.10;2.10;100 %;1.80;1.80;100 %;2.90;2.10;72 %;1.60;798.00;626.30;78 %;39 %;4.10;2.80;0.60;1.74;1.11;0.64;1.71;0.86;0.15;0.11;1.16;3.69;419.80;3.10;74.40;22.60;4.20;10.80;17.80;72.00;37.50;34.50;20.10;14.00;7.30;15.10;48.10;53.20;7.70;4.86;36.80;15.20;7.30;3.60;49 %;8.30;4.10;49 %;29:03;99.40;0:18;27.30;2.80;10 %;19.40;2.30;12 %;28.00;2.60;9 %;61.90;5.40;9 %;12.80;2.30;18 %;9.40;3.80;40 %;2.00;1.00;50 %;6.00;2.00;33 %;0.90;0.30;33 %;0.80;-;0 %;0.50;0.30;60 %
Локомотив Москва;220;1.60;5.50;29 %;13.10;1.80;0.10;4-2-3-1;0.90;5.50;10.60;4.40;7.50;6.40;85 %;437.40;80 %;6.60;3.00;45 %;11.20;32 %;88.40;67 %;31.50;65 %;5.30;57 %;30.60;47 %;166.90;51 %;81.90;54 %;85.00;47 %;48.20;55 %;25.70;55 %;13.30;51 %;33.60;55 %;71.20;12.90;5.80;48.50;9.70;9.60;3.50;1.20;-;74.85;38.12;20.30;15.90;45 %;49 %;63.30;40.40;16.70;1.60;1.60;100 %;0.30;0.30;100 %;5.60;4.50;80 %;1.60;764.40;579.60;76 %;42 %;4.00;2.10;0.10;1.36;1.73;-0.36;1.14;1.17;0.13;0.13;0.85;1.23;351.10;3.60;59.50;20.40;3.00;14.40;19.90;84.30;44.40;39.90;26.70;14.20;6.80;18.50;49.30;64.20;7.10;5.20;28.70;11.50;9.00;4.10;46 %;6.90;3.00;43 %;24:30;102.90;0:14;24.70;2.00;8 %;20.90;2.20;11 %;27.30;2.20;8 %;58.40;4.20;7 %;14.50;2.20;15 %;11.90;3.50;29 %;3.60;1.40;39 %;5.50;1.50;27 %;2.80;0.60;21 %;0.50;-;0 %;-;-;-
Ростов;207;1.50;5.90;25 %;9.50;1.90;0.10;4-3-3 down;1.50;6.40;13.30;4.70;3.50;3.10;89 %;488.90;82 %;6.10;2.90;48 %;17.80;28 %;97.60;66 %;29.10;68 %;7.20;61 %;41.60;52 %;162.80;50 %;77.00;54 %;85.80;47 %;65.90;53 %;19.10;59 %;10.50;56 %;22.70;57 %;67.10;14.30;6.40;46.70;10.70;8.40;3.00;1.30;0.10;72.37;37.37;21.50;19.90;50 %;54 %;61.10;43.80;19.40;1.60;1.60;100 %;0.80;0.80;100 %;1.10;0.70;64 %;1.50;819.90;627.90;77 %;35 %;5.40;3.20;-;1.81;1.82;-0.01;1.17;0.72;0.14;0.14;1.39;0.87;398.50;4.90;64.00;19.80;4.40;21.70;18.60;82.00;41.50;40.50;34.90;11.30;5.90;13.00;47.30;68.30;9.90;5.22;31.90;13.00;9.40;4.60;49 %;10.50;5.30;50 %;28:09;100.70;0:17;25.90;2.40;9 %;21.20;3.00;14 %;24.00;2.70;11 %;61.20;6.90;11 %;9.90;1.20;12 %;13.00;4.90;38 %;2.20;1.00;45 %;6.40;2.80;44 %;4.20;0.90;21 %;0.20;-;0 %;0.20;0.20;100 %
Спартак Москва;230;1.40;6.60;21 %;12.20;2.00;-;4-3-3 down;1.80;6.00;13.80;5.30;4.50;4.20;93 %;521.30;86 %;8.00;3.60;45 %;10.30;31 %;87.60;71 %;21.80;72 %;4.00;60 %;30.30;55 %;151.50;52 %;71.40;54 %;80.10;50 %;39.60;53 %;28.50;64 %;14.30;58 %;28.70;56 %;65.60;13.80;7.50;47.90;10.30;9.60;4.20;1.10;0.10;72.93;38.48;26.40;14.80;49 %;57 %;64.50;43.90;20.50;1.20;1.20;100 %;2.20;2.20;100 %;1.10;0.80;73 %;1.40;837.00;667.60;80 %;38 %;4.60;3.60;0.30;1.56;1.68;-0.12;1.16;0.90;0.11;0.14;1.11;1.5;445.70;3.20;62.30;15.70;2.40;16.80;15.70;78.40;38.60;39.80;20.90;18.20;8.30;16.10;48.70;57.40;7.20;4.70;33.60;16.40;6.60;4.10;62 %;8.20;3.10;38 %;28:42;102.60;0:17;28.50;3.40;12 %;19.50;4.20;22 %;29.10;2.80;10 %;61.80;7.50;12 %;15.30;2.90;19 %;9.80;3.00;31 %;2.60;1.00;38 %;6.00;1.80;30 %;1.10;0.10;9 %;0.40;-;0 %;0.10;0.10;100 %
Оренбург;214;1.30;6.00;22 %;10.30;2.10;0.10;4-3-3 down;1.70;4.90;10.90;3.80;4.30;3.70;86 %;479.30;84 %;5.40;3.00;56 %;17.80;29 %;86.30;68 %;38.60;64 %;11.80;59 %;29.00;42 %;160.80;52 %;78.70;58 %;82.10;46 %;41.20;49 %;34.10;56 %;16.50;48 %;31.50;56 %;66.80;14.50;7.80;47.20;7.30;7.60;2.30;0.40;-;76.93;39.08;23.90;16.20;41 %;54 %;56.10;39.80;15.40;0.60;0.60;100 %;0.80;0.80;100 %;2.90;2.30;79 %;1.30;797.60;626.20;79 %;35 %;4.50;1.70;0.90;1.40;1.86;-0.46;0.95;0.93;0.13;0.14;1.8;1.10;404.30;5.20;58.40;24.60;7.00;12.10;14.60;83.60;45.80;37.80;20.20;19.10;7.90;17.60;49.30;55.30;6.70;4.70;32.70;11.70;7.60;3.70;49 %;8.60;3.00;35 %;27:21;100.00;0:16;27.90;3.20;11 %;18.90;2.30;12 %;25.80;3.10;12 %;60.10;6.60;11 %;12.50;2.00;16 %;8.10;2.20;27 %;2.80;0.70;25 %;4.90;1.30;27 %;0.20;-;0 %;0.10;-;0 %;0.20;0.20;100 %
ФК Ахмат;215;1.20;5.50;22 %;14.10;2.20;0.20;4-2-3-1;1.90;4.00;12.40;4.20;7.10;5.90;83 %;384.70;81 %;5.90;2.90;49 %;8.70;32 %;82.50;66 %;32.90;65 %;10.90;53 %;22.20;48 %;174.00;49 %;87.40;52 %;86.60;46 %;49.60;50 %;26.80;60 %;12.00;54 %;34.90;51 %;70.50;15.80;7.90;48.60;7.40;8.50;2.80;1.10;0.30;77.03;40.38;24.70;15.80;41 %;47 %;52.90;31.30;14.30;1.10;1.10;100 %;1.60;1.60;100 %;4.40;3.20;73 %;1.20;733.80;548.40;75 %;34 %;4.10;3.70;0.40;1.81;1.67;0.14;1.35;0.66;0.15;0.14;1.51;1.67;309.70;2.80;54.50;21.50;5.80;10.70;15.10;85.20;45.30;39.90;24.70;16.00;6.50;17.80;58.80;59.30;6.40;4.44;28.20;10.40;7.20;3.70;51 %;8.60;2.70;31 %;24:18;97.90;0:15;23.40;3.10;13 %;22.70;3.70;16 %;24.20;1.80;7 %;55.60;5.80;10 %;14.70;2.80;19 %;6.90;2.70;39 %;2.10;0.60;29 %;4.00;1.60;40 %;0.40;0.10;25 %;0.30;-;0 %;0.40;0.40;100 %
