Игрок;Команда;Index;Минут на поле;Позиция;Голы;Передачи голевые;Голевые моменты;Голевые моменты удачные;Голевые моменты удачные. %;Голевые моменты создал;Фолы;Фолы на игроке;Голевые ошибки;Грубые ошибки;Желтые карточки;Красные карточки;Офсайды;Удары;Удары в створ;xG (ожидаемые голы);Передачи;Передачи точные. %;Передачи ключевые;Передачи ключевые точные. %;Навесы;Навесы точные. %;Передачи прогрессивные;Передачи прогрессивные точные. %;Передачи длинные;Передачи длинные точные. %;Передачи сверхдлинные;Передачи сверхдлинные точные. %;Передачи вперед в финальную треть;Передачи вперед в финальную треть точные. %;Передачи в штрафную;Передачи в штрафную точные. %;Потери;Потери мяча на своей половине;Обработки мяча неудачные;Овладевания мячом;Овладевания мячом на половине поля соперника;Ведения мяча;Единоборства;Единоборства удачные. %;Единоборства в обороне;Единоборства в обороне удачные. %;Единоборства в атаке;Единоборства в атаке удачные. %;Единоборства вверху;Единоборства вверху удачные. %;Обводки;Обводки удачные. %;Обводки в финальной трети поля;Обводки в финальной трети поля удачные. %;Отборы;Отборы удачные. %;Перехваты;Подборы;Матчей сыграно;Появление в стартовом составе;Был заменен;Вышел на замену;ТТД;ТТД удачные;ТТД удачные. %;Удары точные. %;Удары мимо;Удары перехваченные;Удары в штангу / перекладину;xA (ожидаемые передачи);xGPS (xG на удар);xGPG (xG на гол);xGC (конверсия xG);xGT (xG при игроке на поле);xGOPP (xG соперника при игроке на поле);NxG (чистый xG. разница xGT - xGOPP);xGD (оборонительный xG);xGDPS (оборонительный xG на удар);Передачи точные;Передачи ключевые точные;Навесы точные;Передачи прогрессивные точные;Передачи длинные точные;Передачи сверхдлинные точные;Передачи вперед в финальную треть точные;Передачи в штрафную точные;Единоборства удачные;Единоборства в обороне удачные;Единоборства в атаке удачные;Единоборства вверху удачные;Обводки удачные;Обводки в финальной трети поля удачные;Отборы удачные;Тур
Руслан Аюкин;КамАЗ Набережные Челны;233;100;ЗЛ;-;-;-;-;-;-;-;2.00;-;-;-;-;-;1.00;-;0.24;42.00;71 %;-;-;2.00;0 %;9.00;78 %;2.00;50 %;1.00;0 %;6.00;50 %;7.00;57 %;5.00;-;-;3.00;-;2.00;6.00;100 %;5.00;100 %;1.00;100 %;1.00;100 %;-;-;-;-;-;-;6.00;9.00;1;1.00;-;-;66.00;53.00;80 %;0 %;-;1.00;-;0.07;0.24;-;0.00;0.95;1.60;-0.65;-;-;30.00;-;-;7.00;1.00;-;3.00;4.00;6.00;5.00;1.00;1.00;-;-;-;7
Денис Фомин;Черноморец;239;100;З ПЦ;-;-;-;-;-;-;1.00;1.00;-;-;-;-;-;1.00;-;0.10;58.00;90 %;-;-;-;-;19.00;79 %;3.00;67 %;-;-;8.00;75 %;-;-;5.00;-;-;9.00;1.00;1.00;14.00;79 %;11.00;73 %;3.00;100 %;6.00;67 %;-;-;-;-;3.00;67 %;15.00;5.00;1;1.00;-;-;95.00;85.00;89 %;0 %;1.00;-;-;-;0.10;-;0.00;1.60;0.95;0.65;0.29;0.14;52.00;-;-;15.00;2.00;-;6.00;-;11.00;8.00;3.00;4.00;-;-;2.00;7
Александр Гаглоев;КамАЗ Набережные Челны;225;100;АП Л;-;-;-;-;-;1.00;2.00;2.00;-;-;1.00;-;1.00;2.00;1.00;0.08;26.00;54 %;-;-;6.00;50 %;5.00;80 %;-;-;-;-;4.00;75 %;14.00;57 %;10.00;1.00;1.00;2.00;1.00;1.00;18.00;22 %;8.00;25 %;10.00;20 %;1.00;0 %;3.00;33 %;2.00;50 %;2.00;0 %;6.00;4.00;1;1.00;-;-;59.00;31.00;53 %;50 %;-;1.00;-;0.54;0.04;-;0.00;0.95;1.60;-0.65;-;-;14.00;-;3.00;4.00;-;-;3.00;8.00;4.00;2.00;2.00;-;1.00;1.00;-;7
Виктор Гараев;Черноморец;239;100;З П;-;-;1.00;-;0 %;1.00;1.00;1.00;-;-;-;-;-;1.00;-;0.07;64.00;75 %;1.00;100 %;5.00;40 %;19.00;58 %;3.00;67 %;-;-;8.00;75 %;9.00;67 %;12.00;5.00;1.00;6.00;1.00;5.00;8.00;63 %;6.00;67 %;2.00;50 %;-;-;-;-;-;-;2.00;50 %;8.00;9.00;1;1.00;-;-;97.00;76.00;78 %;0 %;1.00;-;-;0.40;0.07;-;0.00;1.60;0.95;0.65;0.17;0.17;48.00;1.00;2.00;11.00;2.00;-;6.00;6.00;5.00;4.00;1.00;-;-;-;1.00;7
Алексей Гречкин;Черноморец;191;100;З ЛЦ;-;-;-;-;-;-;1.00;-;-;-;1.00;-;-;-;-;-;60.00;93 %;-;-;-;-;9.00;67 %;6.00;33 %;-;-;4.00;50 %;-;-;3.00;2.00;-;4.00;-;3.00;16.00;38 %;13.00;31 %;3.00;67 %;8.00;50 %;1.00;100 %;-;-;3.00;0 %;3.00;6.00;1;1.00;-;-;88.00;74.00;84 %;-;-;-;-;-;-;-;-;1.60;0.95;0.65;-;-;56.00;-;-;6.00;2.00;-;2.00;-;6.00;4.00;2.00;4.00;1.00;-;-;7
Иван Маклаков;Черноморец;216;100;ЗЛ;-;-;-;-;-;1.00;1.00;-;-;-;-;-;-;-;-;-;61.00;89 %;1.00;0 %;2.00;50 %;8.00;38 %;1.00;0 %;-;-;4.00;50 %;3.00;33 %;6.00;-;-;3.00;1.00;3.00;12.00;50 %;7.00;29 %;5.00;80 %;4.00;0 %;3.00;67 %;1.00;0 %;1.00;100 %;2.00;3.00;1;1.00;-;-;81.00;68.00;84 %;-;-;-;-;0.23;-;-;-;1.60;0.95;0.65;-;-;54.00;-;1.00;3.00;-;-;2.00;1.00;6.00;2.00;4.00;-;2.00;-;1.00;7
Валентин Пальцев;КамАЗ Набережные Челны;214;100;З ПЦ;-;-;1.00;-;0 %;-;1.00;1.00;-;1.00;-;-;1.00;2.00;1.00;0.35;36.00;83 %;-;-;-;-;9.00;78 %;3.00;0 %;2.00;0 %;6.00;50 %;-;-;5.00;2.00;1.00;10.00;-;-;12.00;75 %;10.00;70 %;2.00;100 %;5.00;100 %;-;-;-;-;1.00;0 %;5.00;8.00;1;1.00;-;-;65.00;54.00;83 %;50 %;-;1.00;-;-;0.17;-;0.00;0.95;1.60;-0.65;-;-;30.00;-;-;7.00;-;-;3.00;-;9.00;7.00;2.00;5.00;-;-;-;7
Савелий Ратников;КамАЗ Набережные Челны;209;100;З ЛЦ;-;-;-;-;-;-;1.00;-;-;1.00;-;-;-;-;-;-;18.00;72 %;-;-;-;-;4.00;0 %;2.00;0 %;1.00;0 %;2.00;0 %;-;-;5.00;2.00;-;7.00;1.00;1.00;11.00;82 %;10.00;80 %;1.00;100 %;1.00;0 %;-;-;-;-;2.00;100 %;7.00;4.00;1;1.00;-;-;42.00;35.00;83 %;-;-;-;-;-;-;-;-;0.95;1.60;-0.65;0.25;0.25;13.00;-;-;-;-;-;-;-;9.00;8.00;1.00;-;-;-;2.00;7
Даниил Родин;КамАЗ Набережные Челны;175;100;ЗП Ц;-;-;-;-;-;-;2.00;1.00;-;1.00;-;-;-;1.00;1.00;0.05;33.00;73 %;-;-;-;-;4.00;50 %;2.00;50 %;-;-;1.00;100 %;1.00;0 %;8.00;2.00;-;11.00;4.00;2.00;17.00;41 %;10.00;50 %;7.00;29 %;3.00;33 %;2.00;0 %;1.00;0 %;5.00;40 %;6.00;10.00;1;1.00;-;-;69.00;50.00;72 %;100 %;-;-;-;-;0.05;-;0.00;0.95;1.60;-0.65;-;-;24.00;-;-;2.00;1.00;-;1.00;-;7.00;5.00;2.00;1.00;-;-;2.00;7
Шамиль Саадуев;Черноморец;207;100;П ПЦ;-;-;-;-;-;2.00;2.00;3.00;-;1.00;-;-;-;2.00;-;0.14;36.00;75 %;2.00;100 %;3.00;33 %;8.00;88 %;-;-;-;-;1.00;0 %;7.00;57 %;11.00;2.00;-;2.00;-;5.00;22.00;41 %;3.00;33 %;19.00;42 %;2.00;50 %;6.00;67 %;4.00;50 %;-;-;4.00;6.00;1;1.00;-;-;75.00;51.00;68 %;0 %;1.00;1.00;-;0.66;0.07;-;0.00;1.60;0.95;0.65;-;-;27.00;2.00;1.00;7.00;-;-;-;4.00;9.00;1.00;8.00;1.00;4.00;2.00;-;7
